datetime,spot,iv,straddle_cost,signal,in_position,entry_reason,exit_reason,pnl,pnl_pct,result,trade_number,cumulative_pnl
2025-02-27 12:30:00,22521.65,14.5455285,51.4,EXIT,False,,PROFIT_TARGET (80.0%),22.849999999999998,80.03502626970227,WIN,30,181.74999999999986
2025-02-27 13:05:00,22530.3,5.928083,23.15,EXIT,False,,IV_EXPANSION (5.9% vs 5.3%),-1.9500000000000028,-7.7689243027888555,LOSS,31,179.79999999999984
2025-02-27 13:25:00,22536.6,4.995547,18.05,EXIT,False,,STOP_LOSS (-18.9%),-4.199999999999999,-18.87640449438202,LOSS,32,175.59999999999985
2025-02-27 13:55:00,22541.45,5.7576149999999995,15.850000000000001,EXIT,False,,IV_EXPANSION (5.8% vs 5.1%),-2.049999999999997,-11.452513966480431,LOSS,33,173.54999999999984
2025-02-27 14:10:00,22544.1,5.4581895,12.8,EXIT,False,,IV_EXPANSION (5.5% vs 3.9%),-0.29999999999999893,-2.2900763358778544,LOSS,34,173.24999999999983
2025-02-27 15:05:00,22553.6,1.6124955,4.0,EXIT,False,,STOP_LOSS (-27.9%),-1.5499999999999998,-27.927927927927925,LOSS,35,171.69999999999982
2025-02-27 15:15:00,22541.05,2.784226,3.4,EXIT,False,,PROFIT_TARGET (33.3%),0.8500000000000001,33.333333333333336,WIN,36,172.5499999999998
2025-02-28 09:15:00,22322.05,13.1751145,310.65,EXIT,False,,PROFIT_TARGET (8075.0%),306.84999999999997,8074.999999999998,WIN,37,479.39999999999975
2025-03-04 11:25:00,22069.5,14.4499305,197.64999999999998,EXIT,False,,TIME_LIMIT (10 periods),-0.6000000000000227,-0.30264817150064194,LOSS,38,478.7999999999997
2025-03-04 12:20:00,22065.3,13.878369,187.85,EXIT,False,,TIME_LIMIT (10 periods),-6.300000000000011,-3.244913726500134,LOSS,39,472.4999999999997
2025-03-04 13:15:00,22065.45,13.576899000000001,182.2,EXIT,False,,TIME_LIMIT (10 periods),-7.850000000000023,-4.130491975795855,LOSS,40,464.6499999999997
2025-03-04 14:10:00,22087.6,14.1718635,187.3,EXIT,False,,TIME_LIMIT (10 periods),4.449999999999989,2.4336888159693673,WIN,41,469.0999999999997
2025-03-06 11:00:00,22387.1,17.7918365,72.15,EXIT,False,,PROFIT_TARGET (12.0%),7.75,12.034161490683228,WIN,42,476.8499999999997
2025-03-06 13:30:00,22480.85,20.2783855,56.1,EXIT,False,,PROFIT_TARGET (23.8%),10.800000000000004,23.84105960264902,WIN,43,487.6499999999997
2025-03-06 14:40:00,22539.0,15.214498,27.049999999999997,EXIT,False,,STOP_LOSS (-20.3%),-6.900000000000006,-20.324005891016213,LOSS,44,480.74999999999966
2025-03-06 14:50:00,22525.9,14.8683175,29.9,EXIT,False,,PROFIT_TARGET (25.6%),6.099999999999998,25.630252100840327,WIN,45,486.8499999999997
2025-03-06 15:00:00,22550.6,6.462333,8.2,EXIT,False,,STOP_LOSS (-50.0%),-8.2,-50.0,LOSS,46,478.6499999999997
2025-03-06 15:10:00,22547.85,6.928768,7.1499999999999995,EXIT,False,,IV_EXPANSION (6.9% vs 4.9%),-1.0500000000000016,-12.804878048780505,LOSS,47,477.5999999999997
2025-03-06 15:25:00,22529.2,15.3700495,5.3,EXIT,False,,IV_EXPANSION (15.4% vs 4.8%),-0.15000000000000036,-2.752293577981658,LOSS,48,477.4499999999997
2025-03-07 10:05:00,22584.9,12.467846999999999,293.8,EXIT,False,,TIME_LIMIT (10 periods),-21.849999999999966,-6.922223982258821,LOSS,49,455.59999999999974
2025-03-07 11:00:00,22590.45,12.440491999999999,292.6,EXIT,False,,TIME_LIMIT (10 periods),-2.25,-0.763099881295574,LOSS,50,453.34999999999974
2025-03-07 11:55:00,22562.5,12.3841585,291.79999999999995,EXIT,False,,TIME_LIMIT (10 periods),-1.1000000000000227,-0.37555479685900406,LOSS,51,452.2499999999997
2025-03-07 12:50:00,22534.65,12.185438,283.85,EXIT,False,,TIME_LIMIT (10 periods),-4.7999999999999545,-1.6629135631387337,LOSS,52,447.44999999999976
2025-03-07 13:45:00,22563.4,11.9782765,280.75,EXIT,False,,TIME_LIMIT (10 periods),-1.75,-0.6194690265486725,LOSS,53,445.69999999999976
2025-03-07 14:40:00,22590.1,11.818455499999999,274.55,EXIT,False,,TIME_LIMIT (10 periods),-5.550000000000011,-1.9814352017136776,LOSS,54,440.14999999999975
2025-03-10 09:15:00,22578.95,15.831553,269.45,EXIT,False,,IV_EXPANSION (15.8% vs 11.9%),-6.500000000000057,-2.355499184634918,LOSS,55,433.6499999999997
2025-03-12 11:10:00,22416.45,14.469885999999999,148.14999999999998,EXIT,False,,TIME_LIMIT (10 periods),-11.150000000000034,-6.999372253609562,LOSS,56,422.49999999999966
2025-03-12 12:05:00,22360.95,14.504546,145.25,EXIT,False,,TIME_LIMIT (10 periods),-2.9000000000000057,-1.9574755315558592,LOSS,57,419.5999999999997
2025-03-12 13:00:00,22384.35,14.4067935,141.55,EXIT,False,,TIME_LIMIT (10 periods),-3.049999999999983,-2.109266943291828,LOSS,58,416.5499999999997
2025-03-12 14:00:00,22425.5,14.474725,140.35000000000002,EXIT,False,,TIME_LIMIT (10 periods),-0.8999999999999773,-0.6371681415929042,LOSS,59,415.64999999999975
2025-03-12 14:55:00,22480.4,14.1680915,134.89999999999998,EXIT,False,,TIME_LIMIT (10 periods),-3.8500000000000227,-2.7747747747747913,LOSS,60,411.7999999999997
2025-03-13 09:15:00,22484.7,20.0106105,96.05,EXIT,False,,STOP_LOSS (-27.8%),-37.05,-27.836213373403456,LOSS,61,374.7499999999997
2025-03-13 10:20:00,22532.65,13.6652365,60.7,EXIT,False,,TIME_LIMIT (10 periods),-1.3499999999999943,-2.175664786462521,LOSS,62,373.39999999999975
2025-03-13 10:35:00,22522.55,15.645618500000001,68.85,EXIT,False,,PROFIT_TARGET (13.4%),8.149999999999991,13.426688632619424,WIN,63,381.5499999999997
2025-03-13 12:25:00,22436.5,14.413646,49.1,EXIT,False,,PROFIT_TARGET (8.0%),3.6499999999999986,8.030803080308027,WIN,64,385.1999999999997
2025-03-13 12:40:00,22450.35,13.442262,42.8,EXIT,False,,TIME_LIMIT (10 periods),0.7999999999999972,1.904761904761898,WIN,65,385.9999999999997
2025-03-13 12:55:00,22459.0,12.039499,37.5,EXIT,False,,TIME_LIMIT (10 periods),-5.299999999999997,-12.383177570093453,LOSS,66,380.6999999999997
2025-03-13 13:00:00,22447.0,13.5677425,40.55,EXIT,False,,PROFIT_TARGET (8.1%),3.049999999999997,8.133333333333326,WIN,67,383.7499999999997
2025-03-13 13:30:00,22442.3,12.6948445,34.3,EXIT,False,,TIME_LIMIT (10 periods),-2.4000000000000057,-6.539509536784756,LOSS,68,381.3499999999997
2025-03-13 13:45:00,22437.35,15.070117,38.8,EXIT,False,,PROFIT_TARGET (18.5%),6.049999999999997,18.473282442748083,WIN,69,387.3999999999997
2025-03-13 14:25:00,22406.6,9.8202485,19.7,EXIT,False,,STOP_LOSS (-28.1%),-7.699999999999999,-28.102189781021895,LOSS,70,379.6999999999997
2025-03-13 14:30:00,22398.3,8.160867,15.1,EXIT,False,,STOP_LOSS (-23.4%),-4.6,-23.350253807106597,LOSS,71,375.0999999999997
2025-03-13 14:40:00,22406.15,7.204022500000001,13.1,EXIT,False,,TIME_LIMIT (10 periods),-2.0,-13.245033112582782,LOSS,72,373.0999999999997
2025-03-13 14:50:00,22386.9,5.7080475,8.85,EXIT,False,,IV_EXPANSION (5.7% vs 4.8%),-0.9500000000000011,-9.69387755102042,LOSS,73,372.1499999999997
2025-03-13 15:00:00,22393.3,2.89057,6.7,EXIT,False,,STOP_LOSS (-24.3%),-2.1499999999999995,-24.29378531073446,LOSS,74,369.9999999999997
2025-03-13 15:05:00,22398.0,1.0306825,8.5,EXIT,False,,PROFIT_TARGET (26.9%),1.7999999999999998,26.86567164179104,WIN,75,371.7999999999997
2025-03-13 15:25:00,22383.3,12.817656,8.100000000000001,EXIT,False,,IV_EXPANSION (12.8% vs 1.0%),-0.3999999999999986,-4.70588235294116,LOSS,76,371.39999999999975
2025-03-19 09:15:00,22877.3,16.7996215,180.45,EXIT,False,,IV_EXPANSION (16.8% vs 13.9%),-8.150000000000006,-4.321314952279961,LOSS,77,363.2499999999998
2025-03-20 13:05:00,23113.25,14.930688499999999,46.45,EXIT,False,,STOP_LOSS (-15.2%),-8.299999999999997,-15.159817351598168,LOSS,78,354.94999999999976
2025-03-20 13:55:00,23189.9,14.4537525,36.15,EXIT,False,,STOP_LOSS (-19.7%),-8.850000000000001,-19.66666666666667,LOSS,79,346.09999999999974
2025-03-20 14:15:00,23181.9,10.5447385,27.9,EXIT,False,,STOP_LOSS (-17.1%),-5.75,-17.087667161961367,LOSS,80,340.34999999999974
2025-03-20 14:25:00,23209.95,13.718862,28.6,EXIT,False,,PROFIT_TARGET (15.6%),3.8500000000000014,15.55555555555556,WIN,81,344.19999999999976
2025-03-20 14:35:00,23206.45,11.6888115,22.0,EXIT,False,,STOP_LOSS (-15.7%),-4.100000000000001,-15.708812260536403,LOSS,82,340.09999999999974
2025-03-20 14:55:00,23205.05,9.7475635,14.5,EXIT,False,,STOP_LOSS (-20.5%),-3.75,-20.54794520547945,LOSS,83,336.34999999999974
2025-03-20 15:05:00,23198.75,3.980354,4.75,EXIT,False,,STOP_LOSS (-37.5%),-2.8499999999999996,-37.49999999999999,LOSS,84,333.4999999999997
2025-03-20 15:15:00,23188.15,3.126981,7.1,EXIT,False,,STOP_LOSS (-26.8%),-2.5999999999999996,-26.804123711340207,LOSS,85,330.8999999999997
2025-03-21 09:15:00,23197.85,11.181987,272.45,EXIT,False,,PROFIT_TARGET (3013.7%),263.7,3013.7142857142853,WIN,86,594.5999999999997
2025-03-21 10:10:00,23257.3,10.764982,263.20000000000005,EXIT,False,,TIME_LIMIT (10 periods),-6.699999999999932,-2.4824008892182037,LOSS,87,587.8999999999997
2025-03-21 10:50:00,23346.25,11.487285,279.95,EXIT,False,,PROFIT_TARGET (7.0%),18.25,6.973633931983188,WIN,88,606.1499999999997
2025-03-24 09:15:00,23514.05,13.8903185,247.60000000000002,EXIT,False,,IV_EXPANSION (13.9% vs 10.7%),-8.899999999999977,-3.469785575048724,LOSS,89,597.2499999999998
2025-03-25 14:20:00,23715.5,15.318226500000002,218.1,EXIT,False,,TIME_LIMIT (10 periods),-2.5500000000000114,-1.1556764106050357,LOSS,90,594.6999999999998
2025-03-25 15:15:00,23669.0,15.867054,223.60000000000002,EXIT,False,,TIME_LIMIT (10 periods),9.800000000000011,4.583723105706273,WIN,91,604.4999999999998
2025-03-27 10:45:00,23573.5,19.131183,85.55000000000001,EXIT,False,,PROFIT_TARGET (22.8%),15.900000000000006,22.82842785355349,WIN,92,620.3999999999997
2025-03-27 11:20:00,23585.25,12.5247685,52.25,EXIT,False,,STOP_LOSS (-19.1%),-12.299999999999997,-19.054996127033306,LOSS,93,608.0999999999998
2025-03-27 12:00:00,23584.95,10.526496999999999,41.0,EXIT,False,,STOP_LOSS (-17.8%),-8.899999999999999,-17.83567134268537,LOSS,94,599.1999999999998
2025-03-27 12:55:00,23598.8,10.4644585,33.4,EXIT,False,,STOP_LOSS (-16.1%),-6.399999999999999,-16.08040201005025,LOSS,95,592.7999999999998
2025-03-27 13:35:00,23602.2,8.954836499999999,24.6,EXIT,False,,STOP_LOSS (-23.5%),-7.549999999999997,-23.483670295489883,LOSS,96,585.2499999999999
2025-03-27 14:10:00,23609.1,8.782528500000002,21.299999999999997,EXIT,False,,STOP_LOSS (-21.1%),-5.700000000000003,-21.11111111111112,LOSS,97,579.5499999999998
