entry_time,exit_time,entry_cost,exit_cost,raw_pnl,costs,net_pnl,net_pnl_pct,result,exit_reason,hold_minutes
2024-08-27 11:30:00,2024-08-27 11:35:00,171.8,170.05,-1.75,47.4662055,-49.2162055,-28.647383876600696,LOSS,STOP_LOSS,5
2024-09-19 09:15:00,2024-09-19 10:45:00,331.45000000000005,319.79999999999995,-11.650000000000091,47.7050625,-59.35506250000009,-17.907697239402648,LOSS,TIME_LIMIT,180
2024-09-19 09:15:00,2024-09-19 10:45:00,331.45000000000005,319.79999999999995,-11.650000000000091,47.7050625,-59.35506250000009,-17.907697239402648,LOSS,TIME_LIMIT,180
2024-09-20 09:45:00,2024-09-20 10:25:00,306.1,291.70000000000005,-14.399999999999977,47.662684,-62.062683999999976,-20.275296961777187,LOSS,STOP_LOSS,40
2024-09-20 11:35:00,2024-09-20 13:45:00,304.85,283.55,-21.30000000000001,47.653627,-68.95362700000001,-22.618870592094474,LOSS,STOP_LOSS,130
2024-10-23 11:50:00,2024-10-23 14:50:00,384.8,380.25,-4.550000000000011,47.795601500000004,-52.345601500000015,-13.603326793139297,LOSS,TIME_LIMIT,180
2024-10-24 09:30:00,2024-10-24 11:15:00,357.1,331.65,-25.450000000000045,47.7308625,-73.18086250000005,-20.49310067208066,LOSS,STOP_LOSS,105
2024-10-28 13:30:00,2024-10-28 13:45:00,231.2,231.3,0.10000000000002274,47.56077500000001,-47.460774999999984,-20.528016868512104,LOSS,STOP_LOSS,15
2024-11-19 09:15:00,2024-11-19 12:15:00,397.4,379.5,-17.899999999999977,47.801507,-65.70150699999998,-16.532840211373927,LOSS,TIME_LIMIT,180
2024-11-26 10:35:00,2024-11-26 10:50:00,245.15,241.25,-3.9000000000000057,47.578417,-51.47841700000001,-20.99874240261065,LOSS,STOP_LOSS,15
2024-11-26 12:50:00,2024-11-26 12:55:00,236.55,236.75,0.19999999999998863,47.569224000000006,-47.36922400000002,-20.025036567321923,LOSS,STOP_LOSS,5
2024-11-27 13:40:00,2024-11-27 13:45:00,161.65,162.25,0.5999999999999943,47.452792,-46.85279200000001,-28.98409650479431,LOSS,STOP_LOSS,5
2024-12-19 10:25:00,2024-12-19 13:25:00,393.1,392.15,-0.9500000000000455,47.8122575,-48.76225750000005,-12.404542737217005,LOSS,TIME_LIMIT,180
2024-12-20 11:40:00,2024-12-20 14:40:00,360.55,362.45,1.8999999999999773,47.764415,-45.86441500000002,-12.720680904174184,LOSS,TIME_LIMIT,180
2024-12-23 09:40:00,2024-12-23 09:45:00,260.9,248.1,-12.799999999999983,47.593819999999994,-60.39381999999998,-23.148263702568027,LOSS,STOP_LOSS,5
2024-12-23 11:10:00,2024-12-23 11:15:00,215.55,216.25,0.6999999999999886,47.536979,-46.836979000000014,-21.729055439573187,LOSS,STOP_LOSS,5
2024-12-23 12:15:00,2024-12-23 12:20:00,203.25,207.95,4.699999999999989,47.521911,-42.821911000000014,-21.068590897908987,LOSS,STOP_LOSS,5
2024-12-23 13:40:00,2024-12-23 13:45:00,211.95,209.9,-2.049999999999983,47.5285305,-49.578530499999985,-23.391616183062037,LOSS,STOP_LOSS,5
2024-12-24 09:15:00,2024-12-24 09:20:00,162.5,165.55,3.0500000000000114,47.4566415,-44.40664149999999,-27.327163999999993,LOSS,STOP_LOSS,5
2024-12-24 10:20:00,2024-12-24 10:25:00,171.5,174.1,2.5999999999999943,47.470218,-44.87021800000001,-26.163392419825076,LOSS,STOP_LOSS,5
2024-12-24 11:25:00,2024-12-24 11:30:00,157.8,165.45,7.649999999999977,47.4540475,-39.804047500000024,-25.224364702154638,LOSS,STOP_LOSS,5
2025-01-23 10:10:00,2025-01-23 13:10:00,386.4500000000001,384.55,-1.900000000000091,47.800905,-49.70090500000009,-12.860888860137166,LOSS,TIME_LIMIT,180
2025-01-24 11:05:00,2025-01-24 14:05:00,348.15,340.7,-7.449999999999989,47.735440499999996,-55.185440499999984,-15.851052850782704,LOSS,TIME_LIMIT,180
2025-02-19 11:30:00,2025-02-19 14:30:00,392.55,393.0,0.44999999999998863,47.812841500000005,-47.362841500000016,-12.065428989937592,LOSS,TIME_LIMIT,180
2025-02-20 09:30:00,2025-02-20 11:45:00,368.05,340.20000000000005,-27.849999999999966,47.74547249999999,-75.59547249999996,-20.539457274826777,LOSS,STOP_LOSS,135
2025-02-21 12:35:00,2025-02-21 14:10:00,308.3,289.0,-19.30000000000001,47.661069,-66.96106900000001,-21.719451508271167,LOSS,STOP_LOSS,95
2025-02-25 09:50:00,2025-02-25 09:55:00,153.0,150.15,-2.8499999999999943,47.4357445,-50.28574449999999,-32.86649967320261,LOSS,STOP_LOSS,5
2025-03-18 11:00:00,2025-03-18 14:00:00,371.75,355.05,-16.69999999999999,47.76272900000001,-64.462729,-17.340344048419638,LOSS,TIME_LIMIT,180
2025-03-19 09:45:00,2025-03-19 12:45:00,348.35,333.9,-14.450000000000045,47.7285425,-62.17854250000005,-17.84944524185447,LOSS,TIME_LIMIT,180
2025-03-20 09:20:00,2025-03-20 11:55:00,312.35,297.4,-14.950000000000045,47.67186749999999,-62.621867500000036,-20.048620938050274,LOSS,STOP_LOSS,155
2025-03-20 13:15:00,2025-03-20 14:15:00,294.5,279.85,-14.649999999999977,47.644330499999995,-62.29433049999997,-21.15257402376909,LOSS,STOP_LOSS,60
2025-03-21 09:40:00,2025-03-21 10:20:00,266.7,260.7,-6.0,47.609871999999996,-53.609871999999996,-20.101189351331083,LOSS,STOP_LOSS,40
2025-03-25 13:55:00,2025-03-25 14:05:00,220.05,216.7,-3.3500000000000227,47.5398275,-50.889827500000024,-23.126483753692355,LOSS,STOP_LOSS,10
2025-04-28 10:10:00,2025-04-28 10:15:00,229.7,227.3,-2.3999999999999773,47.555859999999996,-49.95585999999997,-21.7483064867218,LOSS,STOP_LOSS,5
2025-04-28 11:15:00,2025-04-28 11:20:00,227.95,226.9,-1.049999999999983,47.554520499999995,-48.60452049999998,-21.322448124588718,LOSS,STOP_LOSS,5
2025-04-28 12:40:00,2025-04-28 12:45:00,223.45,220.8,-2.6499999999999773,47.545852499999995,-50.19585249999997,-22.46401991496978,LOSS,STOP_LOSS,5
2025-04-28 13:45:00,2025-04-28 13:50:00,218.75,217.9,-0.8499999999999943,47.5403745,-48.39037449999999,-22.121314057142854,LOSS,STOP_LOSS,5
2025-04-29 09:15:00,2025-04-29 09:20:00,167.25,166.5,-0.75,47.4601375,-48.2101375,-28.82519431988042,LOSS,STOP_LOSS,5
2025-04-29 10:20:00,2025-04-29 10:25:00,157.39999999999998,160.7,3.3000000000000114,47.448943,-44.14894299999999,-28.048883735705203,LOSS,STOP_LOSS,5
2025-05-23 09:15:00,2025-05-23 12:15:00,385.8,426.85,41.05000000000001,47.844129499999994,-6.794129499999983,-1.7610496371176732,LOSS,TIME_LIMIT,180
2025-05-27 14:00:00,2025-05-27 15:15:00,398.3,368.3,-30.0,47.790448,-77.790448,-19.53061712277178,LOSS,END_OF_DAY,150
2025-05-27 14:00:00,2025-05-27 15:15:00,398.3,368.3,-30.0,47.790448,-77.790448,-19.53061712277178,LOSS,END_OF_DAY,150
2025-06-19 09:35:00,2025-06-19 12:35:00,368.8,378.6,9.800000000000011,47.785422,-37.985421999999986,-10.299734815618217,LOSS,TIME_LIMIT,180
2025-06-20 09:15:00,2025-06-20 09:50:00,338.95000000000005,318.75,-20.200000000000045,47.707955999999996,-67.90795600000004,-20.03480041304028,LOSS,STOP_LOSS,35
2025-06-20 10:50:00,2025-06-20 12:25:00,341.45,320.25,-21.19999999999999,47.710826,-68.91082599999999,-20.18182047151852,LOSS,STOP_LOSS,95
2025-06-20 13:25:00,2025-06-20 15:15:00,327.75,308.20000000000005,-19.549999999999955,47.6911535,-67.24115349999995,-20.51598886346299,LOSS,STOP_LOSS,110
2025-06-24 09:20:00,2025-06-24 09:25:00,232.25,233.3,1.0500000000000114,47.563391499999994,-46.51339149999998,-20.027294510226042,LOSS,STOP_LOSS,5
2025-06-24 12:15:00,2025-06-24 12:25:00,233.15,232.75,-0.4000000000000057,47.56330199999999,-47.963302,-20.571864464936734,LOSS,STOP_LOSS,10
2025-06-25 09:20:00,2025-06-25 09:25:00,177.15,175.0,-2.1500000000000057,47.47413949999999,-49.6241395,-28.012497600903185,LOSS,STOP_LOSS,5
2025-06-25 10:35:00,2025-06-25 10:40:00,172.35,169.7,-2.6500000000000057,47.466136500000005,-50.11613650000001,-29.07811807368727,LOSS,STOP_LOSS,5
2025-06-25 13:30:00,2025-06-25 13:35:00,155.05,157.0,1.9499999999999886,47.44388649999999,-45.4938865,-29.34142953885843,LOSS,STOP_LOSS,5
2025-07-22 09:15:00,2025-07-22 12:15:00,319.0,307.65,-11.350000000000023,47.68594949999999,-59.035949500000015,-18.506567241379315,LOSS,TIME_LIMIT,180
2025-07-23 09:20:00,2025-07-23 11:25:00,282.2,268.7,-13.5,47.626327,-61.126327,-21.660640326009926,LOSS,STOP_LOSS,125
2025-07-29 12:00:00,2025-07-29 12:05:00,181.15,177.35000000000002,-3.799999999999983,47.47868,-51.27867999999998,-28.307303339773654,LOSS,STOP_LOSS,5
2025-07-29 13:35:00,2025-07-29 13:40:00,170.65,168.2,-2.450000000000017,47.4636905,-49.913690500000016,-29.249159390565495,LOSS,STOP_LOSS,5
2025-08-20 10:50:00,2025-08-20 13:50:00,296.4,288.55,-7.849999999999966,47.654298499999996,-55.50429849999996,-18.726146592442632,LOSS,TIME_LIMIT,180
2025-08-21 10:05:00,2025-08-21 10:50:00,264.4,259.05,-5.349999999999966,47.6069535,-52.95695349999997,-20.029104954614212,LOSS,STOP_LOSS,45
