entry_time,exit_time,entry_cost,exit_cost,net_pnl,result,exit_reason
2024-12-26 15:00:00,2024-12-26 15:05:00,4.9,2.75,-52.15,LOSS,STOP
2025-02-27 15:05:00,2025-02-27 15:10:00,4.0,2.55,-51.45,LOSS,STOP
2025-08-28 15:10:00,2025-08-28 15:15:00,8.7,6.85,-51.85,LOSS,STOP
2025-09-30 15:00:00,2025-09-30 15:05:00,20.15,13.8,-56.35,LOSS,STOP
2025-10-28 15:10:00,2025-10-29 09:15:00,13.25,643.95,580.7,WIN,PROFIT
2025-11-25 15:05:00,2025-11-25 15:20:00,16.55,34.4,-32.15,LOSS,PROFIT
2025-12-30 15:10:00,2025-12-31 09:15:00,11.6,531.4,469.8,WIN,PROFIT
2026-01-27 15:00:00,2026-01-27 15:05:00,20.45,13.7,-56.75,LOSS,STOP
