entry_time,exit_time,entry_cost,exit_cost,raw_pnl,costs,net_pnl,net_pnl_pct,result,exit_reason,hold_days
2025-07-14 11:25:00,2025-07-16 14:25:00,489.6,411.4,-78.2,47.88,-126.08,-25.75,LOSS,TIME_LIMIT,5.0
2025-07-17 10:10:00,2025-07-22 13:00:00,403.5,302.15,-101.35,47.73,-149.08,-36.95,LOSS,STOP_LOSS,3.5
2025-07-24 11:20:00,2025-07-29 10:05:00,263.95,197.7,-66.25,47.54,-113.79,-43.11,LOSS,STOP_LOSS,2.8
2025-07-30 09:15:00,2025-07-31 09:25:00,150.45,110.6,-39.85,47.39,-87.24,-57.99,LOSS,STOP_LOSS,1.0
2025-07-31 10:25:00,2025-07-31 13:55:00,92.6,62.05,-30.55,47.31,-77.86,-84.09,LOSS,STOP_LOSS,0.6
2025-07-31 15:20:00,2025-08-01 09:15:00,18.55,591.5,572.95,47.82,525.13,2830.89,WIN,PROFIT_TARGET,0.0
2025-08-04 09:40:00,2025-08-11 09:40:00,588.25,485.7,-102.55,48.01,-150.56,-25.59,LOSS,TIME_LIMIT,5.0
2025-08-11 10:40:00,2025-08-18 15:25:00,474.95,353.15,-121.8,47.82,-169.62,-35.71,LOSS,STOP_LOSS,4.8
2025-08-22 15:20:00,2025-08-25 10:30:00,234.35,174.55,-59.8,47.5,-107.3,-45.79,LOSS,STOP_LOSS,0.2
2025-08-26 09:20:00,2025-08-28 09:15:00,161.8,105.45,-56.35,47.39,-103.74,-64.12,LOSS,STOP_LOSS,1.0
2025-08-28 10:15:00,2025-08-28 13:15:00,80.75,60.45,-20.3,47.31,-67.61,-83.72,LOSS,STOP_LOSS,0.5
2025-08-29 14:40:00,2025-09-04 12:10:00,640.45,545.95,-94.5,48.1,-142.6,-22.27,LOSS,TIME_LIMIT,5.0
2025-09-04 12:25:00,2025-09-10 09:25:00,556.95,453.7,-103.25,47.96,-151.21,-27.15,LOSS,TIME_LIMIT,5.0
2025-09-15 09:15:00,2025-09-19 09:15:00,392.8,286.35,-106.45,47.7,-154.15,-39.24,LOSS,STOP_LOSS,4.0
2025-09-19 11:45:00,2025-09-24 09:45:00,307.45,229.3,-78.15,47.6,-125.75,-40.9,LOSS,STOP_LOSS,2.7
2025-09-25 12:05:00,2025-09-29 09:20:00,208.25,154.9,-53.35,47.47,-100.82,-48.41,LOSS,STOP_LOSS,1.6
2025-09-29 09:35:00,2025-09-30 10:05:00,135.05,100.25,-34.8,47.37,-82.17,-60.85,LOSS,STOP_LOSS,3.9
2025-09-30 11:05:00,2025-09-30 13:00:00,96.15,68.75,-27.4,47.32,-74.72,-77.71,LOSS,STOP_LOSS,0.3
2025-10-08 11:25:00,2025-10-15 11:25:00,441.8,382.5,-59.3,47.83,-107.13,-24.25,LOSS,TIME_LIMIT,5.0
2025-10-16 13:10:00,2025-10-16 15:25:00,359.9,158.1,-201.8,47.55,-249.35,-69.28,LOSS,STOP_LOSS,0.4
2025-10-17 10:10:00,2025-10-21 14:35:00,361.3,270.65,-90.65,47.67,-138.32,-38.28,LOSS,STOP_LOSS,2.0
2025-10-23 09:20:00,2025-10-24 13:10:00,260.5,193.45,-67.05,47.54,-114.59,-43.99,LOSS,STOP_LOSS,3.5
2025-10-24 13:35:00,2025-10-27 13:50:00,202.1,151.15,-50.95,47.46,-98.41,-48.7,LOSS,STOP_LOSS,2.0
2025-10-28 09:15:00,2025-10-28 11:25:00,143.0,105.8,-37.2,47.38,-84.58,-59.15,LOSS,STOP_LOSS,0.3
2025-10-29 14:45:00,2025-11-06 14:45:00,653.5,506.2,-147.3,48.07,-195.37,-29.9,LOSS,TIME_LIMIT,5.0
2025-11-10 09:15:00,2025-11-17 09:15:00,479.25,370.8,-108.45,47.84,-156.29,-32.61,LOSS,TIME_LIMIT,5.0
2025-11-17 10:20:00,2025-11-19 10:20:00,365.35,287.1,-78.25,47.69,-125.94,-34.47,LOSS,TIME_LIMIT,5.0
2025-11-24 09:15:00,2025-11-25 09:15:00,170.8,110.5,-60.3,47.4,-107.7,-63.06,LOSS,STOP_LOSS,1.0
2025-11-25 10:15:00,2025-11-25 12:10:00,103.45,75.75,-27.7,47.33,-75.03,-72.53,LOSS,STOP_LOSS,0.3
2025-11-26 12:45:00,2025-12-03 12:45:00,691.1,574.2,-116.9,48.16,-165.06,-23.88,LOSS,TIME_LIMIT,5.0
2025-12-08 09:15:00,2025-12-15 09:15:00,512.4,410.8,-101.6,47.89,-149.49,-29.18,LOSS,TIME_LIMIT,5.0
2025-12-15 10:15:00,2025-12-19 11:00:00,409.4,306.0,-103.4,47.73,-151.13,-36.92,LOSS,STOP_LOSS,4.1
2025-12-22 09:15:00,2025-12-24 09:30:00,277.85,206.85,-71.0,47.56,-118.56,-42.67,LOSS,STOP_LOSS,2.0
2025-12-29 09:15:00,2025-12-30 09:15:00,114.55,79.5,-35.05,47.34,-82.39,-71.93,LOSS,STOP_LOSS,1.0
2025-12-30 10:15:00,2025-12-30 11:55:00,73.9,55.0,-18.9,47.3,-66.2,-89.57,LOSS,STOP_LOSS,0.3
2025-12-31 12:50:00,2026-01-07 10:05:00,523.15,440.9,-82.25,47.93,-130.18,-24.88,LOSS,TIME_LIMIT,5.0
2026-01-07 12:10:00,2026-01-12 14:40:00,435.4,443.2,7.8,47.89,-40.09,-9.21,LOSS,TIME_LIMIT,5.0
2026-01-16 09:15:00,2026-01-22 09:20:00,358.9,266.25,-92.65,47.66,-140.31,-39.1,LOSS,STOP_LOSS,4.0
2026-01-27 09:15:00,2026-01-27 10:15:00,206.95,155.2,-51.75,47.47,-99.22,-47.94,LOSS,STOP_LOSS,0.2
2026-01-27 11:40:00,2026-01-27 13:00:00,147.95,109.45,-38.5,47.39,-85.89,-58.05,LOSS,STOP_LOSS,0.2
2026-01-30 09:15:00,2026-02-02 09:15:00,723.55,757.95,34.4,48.36,-13.96,-1.93,LOSS,TIME_LIMIT,5.0
2026-02-02 10:15:00,2026-02-04 11:00:00,729.0,545.55,-183.45,48.15,-231.6,-31.77,LOSS,STOP_LOSS,2.1
2026-02-05 14:10:00,2026-02-11 09:15:00,525.0,378.5,-146.5,47.87,-194.37,-37.02,LOSS,STOP_LOSS,3.2
