entry_time,exit_time,entry_cost,exit_cost,position_pnl,hedge_pnl,total_pnl,total_pnl_pct,hedge_count,result,exit_reason
2025-02-20 15:30:00,2025-02-21 09:15:00,13.1,323.55,310.45,0.0,310.45,2369.8473282442746,0,WIN,LOW_GAMMA
2025-03-13 15:05:00,2025-03-13 15:10:00,8.5,8.75,0.25,671.2925560914199,671.5425560914199,7900.500659899058,4,WIN,GAMMA_PROFIT
2025-03-13 15:10:00,2025-03-13 15:25:00,8.75,8.100000000000001,-0.6499999999999986,0.0,-0.6499999999999986,-7.428571428571412,2,LOSS,LOW_GAMMA
2025-04-03 15:10:00,2025-04-03 15:15:00,3.2,1.1,-2.1,2158.60644391452,2156.50644391452,67390.82637232874,1,WIN,GAMMA_PROFIT
2025-04-17 15:20:00,2025-04-17 15:25:00,1.65,1.8,0.15000000000000013,0.0,0.15000000000000013,9.090909090909099,0,WIN,LOW_GAMMA
2025-08-14 15:20:00,2025-08-14 15:25:00,19.1,31.25,12.149999999999999,1430.6444297999594,1442.7944297999595,7553.897538219682,1,WIN,GAMMA_PROFIT
2025-08-21 15:00:00,2025-08-21 15:05:00,14.75,17.1,2.3500000000000014,129.6896527643003,132.03965276430029,895.184086537629,1,WIN,GAMMA_PROFIT
2025-08-21 15:15:00,2025-08-21 15:20:00,17.25,16.35,-0.8999999999999986,146.36789777222586,145.46789777222585,843.2921609984108,1,WIN,GAMMA_PROFIT
2025-08-21 15:25:00,2025-08-22 09:15:00,16.25,230.55,214.3,0.0,214.3,1318.769230769231,0,WIN,LOW_GAMMA
2025-08-28 15:15:00,2025-08-28 15:20:00,6.85,3.1,-3.7499999999999996,6533.6166345246975,6529.8666345246975,95326.52021203938,1,WIN,GAMMA_PROFIT
2025-09-02 15:00:00,2025-09-02 15:05:00,22.95,19.6,-3.349999999999998,3242.498984283491,3239.1489842834912,14113.938929339833,1,WIN,GAMMA_PROFIT
2025-09-09 15:00:00,2025-09-09 15:05:00,16.349999999999998,12.6,-3.7499999999999982,2600.189092876555,2596.439092876555,15880.361424321442,1,WIN,GAMMA_PROFIT
2025-09-09 15:10:00,2025-09-09 15:15:00,16.8,16.3,-0.5,946.580384745454,946.080384745454,5631.430861580084,1,WIN,GAMMA_PROFIT
2025-09-23 15:00:00,2025-09-23 15:05:00,25.2,18.65,-6.550000000000001,2520.9230896536023,2514.373089653602,9977.670990688897,1,WIN,GAMMA_PROFIT
2025-09-23 15:10:00,2025-09-23 15:15:00,21.8,20.45,-1.3500000000000014,1662.4949945525111,1661.1449945525112,7619.93116767207,1,WIN,GAMMA_PROFIT
2025-09-30 15:05:00,2025-09-30 15:10:00,13.8,14.75,0.9499999999999993,1765.3678927062665,1766.3178927062665,12799.405019610625,1,WIN,GAMMA_PROFIT
2025-10-07 15:00:00,2025-10-07 15:05:00,24.950000000000003,16.2,-8.750000000000004,2969.502197960658,2960.752197960658,11866.742276395422,1,WIN,GAMMA_PROFIT
2025-10-07 15:15:00,2025-10-07 15:20:00,7.45,6.75,-0.7000000000000002,266.60745734874604,265.90745734874605,3569.2276154194096,1,WIN,GAMMA_PROFIT
2025-10-14 15:05:00,2025-10-14 15:10:00,7.0,5.65,-1.3499999999999996,2311.791288069332,2310.441288069332,33006.30411527617,1,WIN,GAMMA_PROFIT
2025-10-14 15:20:00,2025-10-14 15:25:00,4.6,45.85,41.25,960.9818187945573,1002.2318187945573,21787.64823466429,1,WIN,GAMMA_PROFIT
2025-10-20 15:00:00,2025-10-20 15:05:00,24.25,9.55,-14.7,9880.592431173278,9865.892431173277,40684.09249968362,1,WIN,GAMMA_PROFIT
2025-10-20 15:15:00,2025-10-20 15:20:00,7.300000000000001,6.75,-0.5500000000000007,2941.538314349322,2940.9883143493216,40287.51115547016,1,WIN,GAMMA_PROFIT
2025-11-04 15:05:00,2025-11-04 15:10:00,7.05,5.1,-1.9500000000000002,858.3401619824,856.3901619824,12147.378184147517,1,WIN,GAMMA_PROFIT
2025-11-04 15:15:00,2025-11-04 15:20:00,6.3,3.25,-3.05,1.606030352661454,-1.4439696473385457,-22.920153132357868,1,LOSS,GAMMA_PROFIT
2025-11-18 15:00:00,2025-11-18 15:05:00,23.4,18.6,-4.799999999999997,3818.3223445452404,3813.5223445452402,16297.104036518122,4,WIN,GAMMA_PROFIT
2025-11-25 15:15:00,2025-11-25 15:20:00,15.75,34.4,18.65,931.9286233410254,950.5786233410254,6035.41983073667,1,WIN,GAMMA_PROFIT
2025-12-09 15:10:00,2025-12-09 15:15:00,12.7,12.25,-0.4499999999999993,202.66810592040653,202.21810592040654,1592.2685505543823,1,WIN,GAMMA_PROFIT
2025-12-16 15:00:00,2025-12-16 15:05:00,24.25,17.5,-6.75,2928.4842563215293,2921.7342563215293,12048.388685861977,1,WIN,GAMMA_PROFIT
2025-12-23 15:05:00,2025-12-23 15:10:00,23.65,21.7,-1.9499999999999993,2104.3159732551867,2102.365973255187,8889.496715666754,1,WIN,GAMMA_PROFIT
2026-01-13 15:10:00,2026-01-13 15:15:00,11.4,16.549999999999997,5.149999999999997,4413.707071590246,4418.857071590246,38761.904136756544,1,WIN,GAMMA_PROFIT
2026-01-13 15:20:00,2026-01-13 15:25:00,16.85,32.25,15.399999999999999,1854.2453673814468,1869.645367381447,11095.818204044193,1,WIN,GAMMA_PROFIT
2026-01-20 15:25:00,2026-01-21 09:15:00,17.55,323.70000000000005,306.15000000000003,0.0,306.15000000000003,1744.4444444444446,0,WIN,LOW_GAMMA
2026-02-10 15:10:00,2026-02-10 15:15:00,8.3,33.35,25.05,1705.1554473086653,1730.2054473086653,20845.848762755002,1,WIN,GAMMA_PROFIT
