datetime,spot,iv,straddle_cost,signal,in_position,entry_reason,exit_reason,pnl,pnl_pct
2025-02-17 09:15:00,22803.45,20.033925,344.7,HOLD,False,,,,
2025-02-17 09:20:00,22842.35,20.0681105,345.4,HOLD,False,,,,
2025-02-17 09:25:00,22831.45,20.1329055,346.1,HOLD,False,,,,
2025-02-17 09:30:00,22805.55,20.246208,347.9,HOLD,False,,,,
2025-02-17 09:35:00,22776.3,20.165433,345.5,HOLD,False,,,,
2025-02-17 09:40:00,22778.7,20.009308,342.65,HOLD,False,,,,
2025-02-17 09:45:00,22793.35,19.8575175,340.15,HOLD,False,,,,
2025-02-17 09:50:00,22750.15,20.013435,342.15,HOLD,False,,,,
2025-02-17 09:55:00,22771.2,20.043098,343.85,HOLD,False,,,,
2025-02-17 10:00:00,22749.85,20.1443395,344.0,HOLD,False,,,,
2025-02-17 10:05:00,22779.0,19.55941,334.04999999999995,HOLD,False,,,,
2025-02-17 10:10:00,22756.85,19.7832765,337.85,HOLD,False,,,,
2025-02-17 10:15:00,22778.8,19.5952095,334.29999999999995,HOLD,False,,,,
2025-02-17 10:20:00,22805.5,19.4517595,332.5,HOLD,False,,,,
2025-02-17 10:25:00,22827.3,19.2048615,328.0,HOLD,False,,,,
2025-02-17 10:30:00,22824.6,19.311962,331.2,HOLD,False,,,,
2025-02-17 10:35:00,22872.55,19.7879695,339.65,HOLD,False,,,,
2025-02-17 10:40:00,22916.15,19.842353,340.6,HOLD,False,,,,
2025-02-17 10:45:00,22903.75,19.700575999999998,337.2,HOLD,False,,,,
2025-02-17 10:50:00,22911.45,19.789959000000003,339.0,HOLD,False,,,,
2025-02-17 10:55:00,22877.5,19.547704500000002,333.5,HOLD,False,,,,
2025-02-17 11:00:00,22856.3,19.882695,339.15,HOLD,False,,,,
2025-02-17 11:05:00,22838.8,19.453114999999997,330.95000000000005,HOLD,False,,,,
2025-02-17 11:10:00,22805.7,19.6198295,333.55,HOLD,False,,,,
2025-02-17 11:15:00,22806.4,19.560381,332.4,HOLD,False,,,,
2025-02-17 11:20:00,22836.85,19.101820500000002,324.4,HOLD,False,,,,
2025-02-17 11:25:00,22840.1,19.1549635,325.20000000000005,HOLD,False,,,,
2025-02-17 11:30:00,22844.6,19.089423,324.05,HOLD,False,,,,
2025-02-17 11:35:00,22826.9,19.089219999999997,323.55,HOLD,False,,,,
2025-02-17 11:40:00,22856.25,19.355904000000002,328.75,HOLD,False,,,,
2025-02-17 11:45:00,22861.85,19.360464,329.0,HOLD,False,,,,
2025-02-17 11:50:00,22848.2,19.149839,324.5,HOLD,False,,,,
2025-02-17 11:55:00,22862.35,19.154642000000003,325.2,HOLD,False,,,,
2025-02-17 12:00:00,22857.4,19.184525,325.20000000000005,HOLD,False,,,,
2025-02-17 12:05:00,22845.95,19.163353,324.1,HOLD,False,,,,
2025-02-17 12:10:00,22823.7,19.367639500000003,328.45,HOLD,False,,,,
2025-02-17 12:15:00,22811.65,19.435831,328.45,HOLD,False,,,,
2025-02-17 12:20:00,22812.45,19.4375025,328.35,HOLD,False,,,,
2025-02-17 12:25:00,22819.8,19.3014845,326.45000000000005,HOLD,False,,,,
2025-02-17 12:30:00,22823.9,19.1440815,324.0,HOLD,False,,,,
2025-02-17 12:35:00,22818.15,19.1403015,323.25,HOLD,False,,,,
2025-02-17 12:40:00,22847.35,18.8753345,318.05,HOLD,False,,,,
2025-02-17 12:45:00,22845.85,18.999383,319.9,HOLD,False,,,,
2025-02-17 12:50:00,22850.75,19.033330499999998,320.5,HOLD,False,,,,
2025-02-17 12:55:00,22880.45,19.040971,320.6,HOLD,False,,,,
2025-02-17 13:00:00,22869.7,19.240139,324.85,HOLD,False,,,,
2025-02-17 13:05:00,22850.2,19.189172,322.54999999999995,HOLD,False,,,,
2025-02-17 13:10:00,22837.85,18.8193525,315.75,HOLD,False,,,,
2025-02-17 13:15:00,22836.95,18.819105999999998,315.55,HOLD,False,,,,
2025-02-17 13:20:00,22865.5,18.989129499999997,319.6,HOLD,False,,,,
2025-02-17 13:25:00,22861.3,18.922399,318.0,HOLD,False,,,,
2025-02-17 13:30:00,22908.5,19.4671995,327.45,HOLD,False,,,,
2025-02-17 13:35:00,22911.8,19.7341315,331.95,HOLD,False,,,,
2025-02-17 13:40:00,22937.55,19.614112,329.4,HOLD,False,,,,
2025-02-17 13:45:00,22923.15,19.6998265,331.9,HOLD,False,,,,
2025-02-17 13:50:00,22915.3,19.4353735,326.65,HOLD,False,,,,
2025-02-17 13:55:00,22898.8,18.945391,317.29999999999995,HOLD,False,,,,
2025-02-17 14:00:00,22883.75,18.975484,317.2,HOLD,False,,,,
2025-02-17 14:05:00,22885.75,18.876731499999998,315.4,HOLD,False,,,,
2025-02-17 14:10:00,22886.5,18.808813999999998,314.1,HOLD,False,,,,
2025-02-17 14:15:00,22920.7,19.179506,321.9,HOLD,False,,,,
2025-02-17 14:20:00,22905.95,19.022905,318.04999999999995,HOLD,False,,,,
2025-02-17 14:25:00,22915.45,18.9052215,316.55,HOLD,False,,,,
2025-02-17 14:30:00,22901.35,18.8280435,314.2,HOLD,False,,,,
2025-02-17 14:35:00,22901.75,18.8045895,313.65,HOLD,False,,,,
2025-02-17 14:40:00,22911.95,18.977418,316.95,HOLD,False,,,,
2025-02-17 14:45:00,22915.9,18.931569500000002,316.3,HOLD,False,,,,
2025-02-17 14:50:00,22903.65,18.689601500000002,311.3,HOLD,False,,,,
2025-02-17 14:55:00,22939.0,18.594229,309.65,HOLD,False,,,,
2025-02-17 15:00:00,22950.7,18.309421999999998,305.15,HOLD,False,,,,
2025-02-17 15:05:00,22960.85,18.5285015,309.20000000000005,HOLD,False,,,,
2025-02-17 15:10:00,22970.65,18.504956,309.4,HOLD,False,,,,
2025-02-17 15:15:00,22961.75,18.3803585,306.45,HOLD,False,,,,
2025-02-17 15:20:00,22966.95,18.352104,306.2,HOLD,False,,,,
2025-02-17 15:25:00,22963.5,18.3272295,305.35,HOLD,False,,,,
2025-02-18 09:15:00,22909.3,21.943756,315.85,HOLD,False,,,,
2025-02-18 09:20:00,22884.45,21.965865,315.2,HOLD,False,,,,
2025-02-18 09:25:00,22900.7,21.6526685,310.8,HOLD,False,,,,
2025-02-18 09:30:00,22878.4,21.185420999999998,303.55,HOLD,False,,,,
2025-02-18 09:35:00,22908.85,20.9504395,300.65,HOLD,False,,,,
2025-02-18 09:40:00,22924.45,20.2878095,292.1,HOLD,False,,,,
2025-02-18 09:45:00,22937.25,20.218016499999997,289.65,HOLD,False,,,,
2025-02-18 09:50:00,22921.05,19.9889495,287.1,HOLD,False,,,,
2025-02-18 09:55:00,22914.5,19.597451,280.8,HOLD,False,,,,
2025-02-18 10:00:00,22937.9,19.778532499999997,282.7,HOLD,False,,,,
2025-02-18 10:05:00,22911.45,19.9450025,285.1,HOLD,False,,,,
2025-02-18 10:10:00,22894.45,19.7357095,281.15,HOLD,False,,,,
2025-02-18 10:15:00,22868.0,20.2915935,289.4,HOLD,False,,,,
2025-02-18 10:20:00,22842.5,20.4758005,290.55,HOLD,False,,,,
2025-02-18 10:25:00,22827.15,20.8767425,295.95000000000005,HOLD,False,,,,
2025-02-18 10:30:00,22818.3,20.4290295,290.05,HOLD,False,,,,
2025-02-18 10:35:00,22837.3,20.296333500000003,287.25,HOLD,False,,,,
2025-02-18 10:40:00,22841.45,20.004385499999998,282.95,HOLD,False,,,,
2025-02-18 10:45:00,22831.6,20.414260499999997,288.45,HOLD,False,,,,
2025-02-18 10:50:00,22860.7,19.9785905,282.9,HOLD,False,,,,
2025-02-18 10:55:00,22869.65,19.6539225,278.75,HOLD,False,,,,
2025-02-18 11:00:00,22848.45,19.590376999999997,276.4,HOLD,False,,,,
2025-02-18 11:05:00,22831.8,19.584377500000002,275.85,HOLD,False,,,,
2025-02-18 11:10:00,22813.7,19.7337395,278.15,HOLD,False,,,,
2025-02-18 11:15:00,22831.95,19.3133505,271.6,HOLD,False,,,,
2025-02-18 11:20:00,22825.35,19.3087595,271.4,HOLD,False,,,,
2025-02-18 11:25:00,22838.8,19.1110575,268.35,HOLD,False,,,,
2025-02-18 11:30:00,22849.7,18.9790845,266.55,HOLD,False,,,,
2025-02-18 11:35:00,22843.35,19.072091999999998,267.45000000000005,HOLD,False,,,,
2025-02-18 11:40:00,22866.7,18.921579,266.3,HOLD,False,,,,
2025-02-18 11:45:00,22875.1,19.0723755,267.6,HOLD,False,,,,
2025-02-18 11:50:00,22856.15,18.976715499999997,265.95,HOLD,False,,,,
2025-02-18 11:55:00,22837.1,19.233313000000003,268.75,HOLD,False,,,,
2025-02-18 12:00:00,22835.1,19.070486000000002,266.25,HOLD,False,,,,
2025-02-18 12:05:00,22854.55,18.774121,262.4,BUY_STRADDLE,False,LOW_IV (18.8%),,,
2025-02-18 12:10:00,22863.3,18.83809,263.6,HOLD,True,,,,
2025-02-18 12:15:00,22873.0,18.770850000000003,263.25,HOLD,True,,,,
2025-02-18 12:20:00,22857.15,18.6160635,259.7,HOLD,True,,,,
2025-02-18 12:25:00,22876.4,18.6846025,260.45,HOLD,True,,,,
2025-02-18 12:30:00,22898.95,18.7046725,260.7,HOLD,True,,,,
2025-02-18 12:35:00,22888.35,18.557603,258.2,HOLD,True,,,,
2025-02-18 12:40:00,22877.65,18.4045165,255.89999999999998,HOLD,True,,,,
2025-02-18 12:45:00,22876.35,18.5511275,257.75,HOLD,True,,,,
2025-02-18 12:50:00,22858.75,18.582202000000002,258.05,HOLD,True,,,,
2025-02-18 12:55:00,22854.1,18.785800000000002,260.4,EXIT,False,,TIME_LIMIT (10 periods),-2.0,-0.7621951219512196
2025-02-18 13:00:00,22857.0,18.808539,260.65,HOLD,False,,,,
2025-02-18 13:05:00,22874.4,18.731383,260.7,HOLD,False,,,,
2025-02-18 13:10:00,22871.85,18.6298525,258.85,BUY_STRADDLE,False,LOW_IV (18.6%),,,
2025-02-18 13:15:00,22879.4,18.3245965,253.3,HOLD,True,,,,
2025-02-18 13:20:00,22884.25,18.2626765,252.2,HOLD,True,,,,
2025-02-18 13:25:00,22894.25,18.305861999999998,252.7,HOLD,True,,,,
2025-02-18 13:30:00,22904.75,18.365447,253.7,HOLD,True,,,,
2025-02-18 13:35:00,22896.4,18.266981,251.8,HOLD,True,,,,
2025-02-18 13:40:00,22921.45,18.546637500000003,256.95,HOLD,True,,,,
2025-02-18 13:45:00,22910.1,18.2730335,252.1,HOLD,True,,,,
2025-02-18 13:50:00,22924.7,18.4786505,255.9,HOLD,True,,,,
2025-02-18 13:55:00,22915.4,18.368034,253.35,HOLD,True,,,,
2025-02-18 14:00:00,22898.5,18.2734605,250.89999999999998,EXIT,False,,TIME_LIMIT (10 periods),-7.9500000000000455,-3.071276801236255
2025-02-18 14:05:00,22920.5,18.2031645,251.1,BUY_STRADDLE,False,LOW_IV (18.2%),,,
2025-02-18 14:10:00,22917.25,18.2502235,251.25,HOLD,True,,,,
2025-02-18 14:15:00,22918.25,18.149592,249.75,HOLD,True,,,,
2025-02-18 14:20:00,22927.65,18.132168,248.5,HOLD,True,,,,
2025-02-18 14:25:00,22947.5,17.849503,244.54999999999998,HOLD,True,,,,
2025-02-18 14:30:00,22930.5,17.778498,243.2,HOLD,True,,,,
2025-02-18 14:35:00,22938.65,17.7543225,242.65,HOLD,True,,,,
2025-02-18 14:40:00,22947.05,17.5410415,239.7,HOLD,True,,,,
2025-02-18 14:45:00,22956.7,17.774476,243.1,HOLD,True,,,,
2025-02-18 14:50:00,22951.95,17.656717999999998,241.04999999999998,HOLD,True,,,,
2025-02-18 14:55:00,22943.3,17.347495000000002,236.35,EXIT,False,,TIME_LIMIT (10 periods),-14.75,-5.8741537236160895
2025-02-18 15:00:00,22951.3,17.428134,237.5,BUY_STRADDLE,False,LOW_IV (17.4%),,,
2025-02-18 15:05:00,22955.6,17.5015005,238.5,HOLD,True,,,,
2025-02-18 15:10:00,22951.4,17.7010715,240.8,HOLD,True,,,,
2025-02-18 15:15:00,22939.5,17.485616,237.35000000000002,HOLD,True,,,,
2025-02-18 15:20:00,22932.8,17.494273,237.25,HOLD,True,,,,
2025-02-18 15:25:00,22923.15,17.325117,236.15,HOLD,True,,,,
2025-02-19 09:15:00,22859.95,21.093923500000002,226.2,EXIT,False,,IV_EXPANSION (21.1% vs 17.4%),-11.300000000000011,-4.75789473684211
2025-02-19 09:20:00,22849.45,20.001902,213.8,HOLD,False,,,,
2025-02-19 09:25:00,22852.9,19.780321999999998,211.25,HOLD,False,,,,
2025-02-19 09:30:00,22890.65,19.5048125,208.25,HOLD,False,,,,
2025-02-19 09:35:00,22899.45,18.878421000000003,201.4,HOLD,False,,,,
2025-02-19 09:40:00,22912.3,18.8897125,201.85,HOLD,False,,,,
2025-02-19 09:45:00,22955.05,20.3270895,216.89999999999998,HOLD,False,,,,
2025-02-19 09:50:00,22967.45,20.0535265,214.45,HOLD,False,,,,
2025-02-19 09:55:00,22989.1,19.5795805,208.5,HOLD,False,,,,
2025-02-19 10:00:00,22973.8,19.696673,210.65,HOLD,False,,,,
2025-02-19 10:05:00,22967.75,19.7534865,210.39999999999998,HOLD,False,,,,
