entry_time,exit_time,ml_probability,entry_cost,exit_cost,raw_pnl,costs,net_pnl,net_pnl_pct,result,exit_reason,hold_days
2024-08-29 11:20:00,2024-08-29 14:00:00,0.9910084130586899,73.65,130.4,56.75,50,6.75,9.164969450101832,WIN,PROFIT_TARGET,0.4266666666666667
2024-08-29 15:00:00,2024-08-29 15:10:00,0.9859096762106041,19.0,9.6,-9.4,50,-59.4,-312.63157894736844,LOSS,STOP_LOSS,0.02666666666666667
2024-09-19 14:20:00,2024-09-20 12:50:00,0.5601898776888257,327.54999999999995,320.0,-7.5499999999999545,50,-57.549999999999955,-17.569836666157826,LOSS,TIME_LIMIT,3.0
2024-09-23 15:00:00,2024-09-25 11:25:00,0.5869696633045574,242.45,157.5,-84.94999999999999,50,-134.95,-55.66096102289132,LOSS,STOP_LOSS,1.44
2024-09-25 12:25:00,2024-09-26 11:45:00,0.9920442763415485,159.35000000000002,99.5,-59.85000000000002,50,-109.85000000000002,-68.93630373391905,LOSS,STOP_LOSS,0.8933333333333333
2024-09-26 12:45:00,2024-09-26 14:50:00,0.9932301352631279,108.45,70.25,-38.2,50,-88.2,-81.32780082987551,LOSS,STOP_LOSS,0.3333333333333333
2024-09-27 13:25:00,2024-10-03 13:25:00,0.7504310998602,720.4,737.55,17.149999999999977,50,-32.85000000000002,-4.559966685174906,LOSS,TIME_LIMIT,3.0
2024-10-15 09:20:00,2024-10-18 09:15:00,0.5646840249822999,473.6,482.8,9.199999999999989,50,-40.80000000000001,-8.614864864864867,LOSS,TIME_LIMIT,3.0
2024-10-22 09:15:00,2024-10-24 15:20:00,0.5747210567983552,395.9,324.55,-71.34999999999997,50,-121.34999999999997,-30.651679717100272,LOSS,TIME_LIMIT,3.0
2024-10-25 14:00:00,2024-10-29 14:05:00,0.6206894727667671,322.1,204.95,-117.15000000000003,50,-167.15000000000003,-51.89382179447377,LOSS,STOP_LOSS,2.04
2024-10-29 15:05:00,2024-10-31 09:25:00,0.629505859497785,176.39999999999998,112.1,-64.29999999999998,50,-114.29999999999998,-64.79591836734694,LOSS,STOP_LOSS,1.12
2024-10-31 10:25:00,2024-10-31 12:50:00,0.981697038711903,66.0,42.85,-23.15,50,-73.15,-110.83333333333334,LOSS,STOP_LOSS,0.38666666666666666
2024-10-31 13:50:00,2024-10-31 13:55:00,0.9908468813898056,50.900000000000006,30.95,-19.950000000000006,50,-69.95,-137.42632612966602,LOSS,STOP_LOSS,0.013333333333333334
2024-10-31 14:55:00,2024-10-31 15:00:00,0.9897835950776146,12.1,6.5,-5.6,50,-55.6,-459.50413223140504,LOSS,STOP_LOSS,0.013333333333333334
2024-11-11 10:25:00,2024-11-14 10:25:00,0.6893084856678557,553.15,488.4,-64.75,50,-114.75,-20.74482509265118,LOSS,TIME_LIMIT,3.0
2024-11-19 09:20:00,2024-11-25 09:20:00,0.5916748956581389,397.4500000000001,341.79999999999995,-55.65000000000015,50,-105.65000000000015,-26.581959994967953,LOSS,TIME_LIMIT,3.0
2024-11-25 15:15:00,2024-11-27 09:55:00,0.5646754634710378,276.6,178.25,-98.35000000000002,50,-148.35000000000002,-53.633405639913235,LOSS,STOP_LOSS,1.1466666666666667
2024-11-27 10:55:00,2024-11-28 13:25:00,0.9654718420352527,164.9,106.75,-58.150000000000006,50,-108.15,-65.58520315342632,LOSS,STOP_LOSS,1.4
2024-11-28 14:25:00,2024-11-28 14:35:00,0.9933872954091885,116.5,67.85,-48.650000000000006,50,-98.65,-84.67811158798284,LOSS,STOP_LOSS,0.02666666666666667
2024-12-13 13:55:00,2024-12-18 13:50:00,0.5609686928274242,478.2,434.75,-43.44999999999999,50,-93.44999999999999,-19.54203262233375,LOSS,TIME_LIMIT,3.0
2024-12-18 14:50:00,2024-12-23 09:30:00,0.5828061206551334,421.45,270.15,-151.3,50,-201.3,-47.76367303357457,LOSS,STOP_LOSS,2.16
2024-12-24 13:40:00,2024-12-26 09:25:00,0.8670357236564755,145.5,89.95,-55.55,50,-105.55,-72.54295532646047,LOSS,STOP_LOSS,0.32
2024-12-26 10:25:00,2024-12-26 11:40:00,0.9897383741516108,87.55,54.65,-32.9,50,-82.9,-94.68874928612222,LOSS,STOP_LOSS,0.2
2024-12-26 12:40:00,2024-12-26 13:30:00,0.9904672884331295,37.65,87.7,50.050000000000004,50,0.05000000000000426,0.13280212483400866,WIN,PROFIT_TARGET,0.13333333333333333
2024-12-26 14:30:00,2024-12-26 14:45:00,0.986529069902942,17.0,9.75,-7.25,50,-57.25,-336.7647058823529,LOSS,STOP_LOSS,0.04
2025-01-24 11:55:00,2025-01-29 11:55:00,0.5585948188108601,343.6,310.15,-33.450000000000045,50,-83.45000000000005,-24.286961583236334,LOSS,TIME_LIMIT,3.0
2025-01-29 12:55:00,2025-01-30 10:20:00,0.9426579419789671,290.15,187.3,-102.84999999999997,50,-152.84999999999997,-52.679648457694285,LOSS,STOP_LOSS,0.5866666666666667
2025-01-30 11:20:00,2025-01-30 13:10:00,0.9845809826616264,170.3,102.0,-68.30000000000001,50,-118.30000000000001,-69.46564885496184,LOSS,STOP_LOSS,0.29333333333333333
2025-01-30 14:10:00,2025-01-30 14:25:00,0.9940555160249899,133.0,78.95,-54.05,50,-104.05,-78.23308270676691,LOSS,STOP_LOSS,0.04
2025-02-07 10:05:00,2025-02-12 10:05:00,0.5626495980496438,577.0,556.8,-20.200000000000045,50,-70.20000000000005,-12.166377816291169,LOSS,TIME_LIMIT,3.0
2025-02-24 09:45:00,2025-02-25 09:30:00,0.5726350784097137,249.5,158.45,-91.05000000000001,50,-141.05,-56.53306613226453,LOSS,STOP_LOSS,0.9733333333333334
2025-02-25 10:30:00,2025-02-27 09:15:00,0.9467994525082982,132.8,65.1,-67.70000000000002,50,-117.70000000000002,-88.62951807228916,LOSS,STOP_LOSS,0.8133333333333334
2025-02-27 10:15:00,2025-02-27 12:10:00,0.9883024389588461,44.55,28.55,-15.999999999999996,50,-66.0,-148.14814814814815,LOSS,STOP_LOSS,0.30666666666666664
2025-02-27 13:10:00,2025-02-27 14:05:00,0.9851325183911718,22.25,13.1,-9.15,50,-59.15,-265.8426966292135,LOSS,STOP_LOSS,0.14666666666666667
2025-02-27 15:05:00,2025-02-27 15:10:00,0.9891036775800194,4.0,2.55,-1.4500000000000002,50,-51.45,-1286.25,LOSS,STOP_LOSS,0.013333333333333334
2025-03-17 09:20:00,2025-03-20 09:15:00,0.6672513330088896,405.1,311.1,-94.0,50,-144.0,-35.5467785731918,LOSS,TIME_LIMIT,3.0
2025-03-20 10:15:00,2025-03-25 10:15:00,0.7901292899390938,307.65,276.25,-31.399999999999977,50,-81.39999999999998,-26.45863806273362,LOSS,TIME_LIMIT,3.0
2025-03-25 13:20:00,2025-03-27 09:15:00,0.6719086075261744,222.7,143.3,-79.39999999999998,50,-129.39999999999998,-58.105074090704974,LOSS,STOP_LOSS,1.3466666666666667
2025-03-27 10:15:00,2025-03-27 11:20:00,0.9904021279833707,86.85,52.25,-34.599999999999994,50,-84.6,-97.40932642487047,LOSS,STOP_LOSS,0.17333333333333334
2025-03-27 12:20:00,2025-03-27 13:55:00,0.9887089194638954,37.6,23.3,-14.3,50,-64.3,-171.01063829787233,LOSS,STOP_LOSS,0.25333333333333335
2025-03-27 14:55:00,2025-03-28 09:15:00,0.9891841710070997,8.65,731.95,723.3000000000001,50,673.3000000000001,7783.815028901735,WIN,PROFIT_TARGET,0.08
2025-04-02 10:40:00,2025-04-07 09:20:00,0.5801595250164457,701.15,1219.6,518.4499999999999,50,468.44999999999993,66.8116665478143,WIN,PROFIT_TARGET,2.8
2025-04-11 13:45:00,2025-04-16 09:20:00,0.6564479305632152,803.75,518.1,-285.65,50,-335.65,-41.760497667185064,LOSS,STOP_LOSS,1.2933333333333332
2025-04-16 10:20:00,2025-04-22 10:20:00,0.8314138785550305,522.25,424.95,-97.30000000000001,50,-147.3,-28.20488271900431,LOSS,TIME_LIMIT,3.0
2025-04-25 09:15:00,2025-04-28 10:15:00,0.7371975266566221,352.45,227.3,-125.14999999999998,50,-175.14999999999998,-49.69499219747481,LOSS,STOP_LOSS,1.16
2025-04-28 11:15:00,2025-04-29 10:55:00,0.8536127522877849,227.95,147.0,-80.94999999999999,50,-130.95,-57.44680851063829,LOSS,STOP_LOSS,0.9466666666666667
2025-04-29 11:55:00,2025-04-30 09:15:00,0.9644996367921586,145.15,76.15,-69.0,50,-119.0,-81.98415432311401,LOSS,STOP_LOSS,0.5733333333333334
2025-04-30 10:15:00,2025-04-30 13:00:00,0.9849261591761647,47.3,30.1,-17.199999999999996,50,-67.19999999999999,-142.07188160676532,LOSS,STOP_LOSS,0.44
2025-04-30 14:00:00,2025-04-30 14:50:00,0.9898625074151375,15.7,37.45,21.750000000000004,50,-28.249999999999996,-179.93630573248407,LOSS,PROFIT_TARGET,0.13333333333333333
2025-05-22 13:40:00,2025-05-27 11:25:00,0.6704213369908041,422.8,454.4,31.599999999999966,50,-18.400000000000034,-4.351939451277207,LOSS,TIME_LIMIT,3.0
2025-05-29 09:15:00,2025-05-29 12:40:00,0.9873570583110172,122.3,76.4,-45.89999999999999,50,-95.89999999999999,-78.41373671300082,LOSS,STOP_LOSS,0.5466666666666666
2025-05-29 13:40:00,2025-05-29 14:45:00,0.9712569615687728,46.45,29.9,-16.550000000000004,50,-66.55000000000001,-143.27233584499464,LOSS,STOP_LOSS,0.17333333333333334
2025-06-19 11:25:00,2025-06-24 09:15:00,0.5927307523008348,376.65,235.2,-141.45,50,-191.45,-50.82968272932431,LOSS,STOP_LOSS,2.6533333333333333
2025-06-24 10:15:00,2025-06-25 12:10:00,0.9602312874495136,239.45,154.39999999999998,-85.05000000000001,50,-135.05,-56.40008352474422,LOSS,STOP_LOSS,1.3066666666666666
2025-06-25 13:10:00,2025-06-26 14:05:00,0.9820834544333036,154.6,82.0,-72.6,50,-122.6,-79.30142302716689,LOSS,STOP_LOSS,1.1466666666666667
2025-06-26 15:05:00,2025-06-26 15:20:00,0.9864730057260775,8.05,2.85,-5.200000000000001,50,-55.2,-685.7142857142857,LOSS,STOP_LOSS,0.04
2025-07-09 09:25:00,2025-07-14 09:25:00,0.6160473435775321,562.9,496.85,-66.04999999999995,50,-116.04999999999995,-20.616450524071762,LOSS,TIME_LIMIT,3.0
2025-07-15 14:45:00,2025-07-16 12:00:00,0.6882550548870395,447.2000000000001,412.75,-34.4500000000001,50,-84.4500000000001,-18.88416815742399,LOSS,TIME_LIMIT,3.0
2025-07-16 13:35:00,2025-07-21 11:40:00,0.7610877570254413,413.0,350.2,-62.80000000000001,50,-112.80000000000001,-27.312348668280872,LOSS,TIME_LIMIT,3.0
2025-07-21 12:40:00,2025-07-24 12:40:00,0.6458479163865711,340.79999999999995,257.85,-82.94999999999993,50,-132.94999999999993,-39.01115023474177,LOSS,TIME_LIMIT,3.0
2025-07-24 13:40:00,2025-07-29 13:40:00,0.9019332901920241,257.95000000000005,168.2,-89.75000000000006,50,-139.75000000000006,-54.17716611746464,LOSS,TIME_LIMIT,3.0
2025-07-29 14:40:00,2025-07-31 09:40:00,0.9478252683899431,159.35,103.55,-55.8,50,-105.8,-66.39472858487606,LOSS,STOP_LOSS,1.2
2025-07-31 10:40:00,2025-07-31 14:15:00,0.988411423469856,87.35,52.7,-34.64999999999999,50,-84.64999999999999,-96.90898683457355,LOSS,STOP_LOSS,0.5733333333333334
2025-07-31 15:15:00,2025-08-01 09:15:00,0.9837615704753343,17.400000000000002,591.5,574.1,50,524.1,3012.0689655172414,WIN,PROFIT_TARGET,0.04
2025-08-01 10:55:00,2025-08-06 10:55:00,0.5673747027986102,593.55,537.1,-56.44999999999993,50,-106.44999999999993,-17.934462134613753,LOSS,TIME_LIMIT,3.0
2025-08-06 12:50:00,2025-08-11 12:50:00,0.5939927326718871,515.95,465.45,-50.50000000000006,50,-100.50000000000006,-19.478631650353726,LOSS,TIME_LIMIT,3.0
2025-08-11 14:35:00,2025-08-14 14:35:00,0.601596571035902,460.65,403.9,-56.75,50,-106.75,-23.17377618582438,LOSS,TIME_LIMIT,3.0
2025-08-18 14:15:00,2025-08-21 14:15:00,0.5621666174817024,359.65,243.55,-116.09999999999997,50,-166.09999999999997,-46.18378979563464,LOSS,TIME_LIMIT,3.0
2025-08-22 09:15:00,2025-08-26 09:15:00,0.7725016121113129,230.55,146.65,-83.9,50,-133.9,-58.07850791585339,LOSS,STOP_LOSS,2.0
2025-08-26 10:15:00,2025-08-28 09:45:00,0.9875629052952062,143.5,90.95,-52.55,50,-102.55,-71.46341463414633,LOSS,STOP_LOSS,0.92
2025-08-28 10:45:00,2025-08-28 13:35:00,0.969515545562672,89.15,56.35,-32.800000000000004,50,-82.80000000000001,-92.87717330342122,LOSS,STOP_LOSS,0.4533333333333333
2025-08-28 14:35:00,2025-08-28 15:00:00,0.9908330284993975,34.3,15.95,-18.349999999999998,50,-68.35,-199.27113702623907,LOSS,STOP_LOSS,0.06666666666666667
2025-09-01 10:55:00,2025-09-04 10:05:00,0.5615316757099003,603.55,542.4,-61.14999999999998,50,-111.14999999999998,-18.416038439234526,LOSS,TIME_LIMIT,3.0
2025-09-04 10:50:00,2025-09-04 14:00:00,0.5756122673169258,541.95,537.65,-4.300000000000068,50,-54.30000000000007,-10.019374481040698,LOSS,TIME_LIMIT,3.0
2025-09-04 14:30:00,2025-09-09 13:35:00,0.5525769957285199,541.05,488.6,-52.44999999999993,50,-102.44999999999993,-18.93540338231216,LOSS,TIME_LIMIT,3.0
2025-09-09 14:50:00,2025-09-12 14:50:00,0.5630498269251095,464.6,408.05,-56.55000000000001,50,-106.55000000000001,-22.933706414119673,LOSS,TIME_LIMIT,3.0
2025-09-16 09:15:00,2025-09-19 09:15:00,0.561624332670562,371.7,286.35,-85.34999999999997,50,-135.34999999999997,-36.41377454936776,LOSS,TIME_LIMIT,3.0
2025-09-19 10:20:00,2025-09-24 10:20:00,0.6803153154731573,300.6,223.8,-76.80000000000001,50,-126.80000000000001,-42.18230206254158,LOSS,TIME_LIMIT,3.0
2025-09-24 11:20:00,2025-09-29 09:30:00,0.9079369863983946,229.45,137.9,-91.54999999999998,50,-141.54999999999998,-61.691000217912396,LOSS,STOP_LOSS,2.7466666666666666
2025-09-29 10:00:00,2025-09-29 13:05:00,0.9885116437190073,142.45,140.25,-2.1999999999999886,50,-52.19999999999999,-36.64443664443664,LOSS,TIME_LIMIT,3.0
2025-09-29 13:35:00,2025-09-30 11:25:00,0.9915727697261704,132.2,83.30000000000001,-48.89999999999998,50,-98.89999999999998,-74.8108925869894,LOSS,STOP_LOSS,0.9466666666666667
2025-09-30 12:25:00,2025-09-30 13:55:00,0.9850516631686435,83.6,53.75,-29.849999999999994,50,-79.85,-95.51435406698565,LOSS,STOP_LOSS,0.24
2025-09-30 14:55:00,2025-09-30 15:05:00,0.9882921059608856,22.5,13.8,-8.7,50,-58.7,-260.8888888888889,LOSS,STOP_LOSS,0.02666666666666667
2025-10-01 15:00:00,2025-10-07 15:00:00,0.7515977722464218,533.5,447.85,-85.64999999999998,50,-135.64999999999998,-25.426429240862227,LOSS,TIME_LIMIT,3.0
2025-10-08 12:55:00,2025-10-13 12:55:00,0.7193519461904896,430.25,414.05,-16.19999999999999,50,-66.19999999999999,-15.386403253922134,LOSS,TIME_LIMIT,3.0
2025-10-13 14:05:00,2025-10-16 14:05:00,0.5783192487132249,413.25,359.45,-53.80000000000001,50,-103.80000000000001,-25.117967332123413,LOSS,TIME_LIMIT,3.0
2025-10-16 15:05:00,2025-10-16 15:25:00,0.6494450375048993,339.7,158.1,-181.6,50,-231.6,-68.17780394465706,LOSS,STOP_LOSS,0.05333333333333334
2025-10-17 11:05:00,2025-10-23 12:10:00,0.6798119055755883,371.25,241.1,-130.15,50,-180.15,-48.525252525252526,LOSS,STOP_LOSS,2.453333333333333
2025-10-23 13:20:00,2025-10-24 11:15:00,0.633497355704276,236.65,208.75,-27.900000000000006,50,-77.9,-32.9178111134587,LOSS,TIME_LIMIT,3.0
2025-10-24 11:45:00,2025-10-28 09:30:00,0.934896434727782,200.35,130.05,-70.29999999999998,50,-120.29999999999998,-60.04492138757175,LOSS,STOP_LOSS,2.2266666666666666
2025-10-28 10:30:00,2025-10-28 12:55:00,0.9889582349386451,129.0,83.15,-45.849999999999994,50,-95.85,-74.30232558139535,LOSS,STOP_LOSS,0.38666666666666666
2025-10-28 13:55:00,2025-10-28 14:50:00,0.9894705185439292,61.0,30.4,-30.6,50,-80.6,-132.13114754098362,LOSS,STOP_LOSS,0.14666666666666667
