datetime,close_call,iv_call,spot,close_put,iv_put,straddle_cost,avg_iv
2024-08-26 09:15:00,112.55,11.478946,24887.45,114.6,12.728719,227.14999999999998,12.1038325
2024-08-26 09:20:00,116.0,10.842622,24905.3,109.65,13.10811,225.65,11.975366000000001
2024-08-26 09:25:00,122.85,10.752186,24919.25,98.8,12.626113,221.64999999999998,11.6891495
2024-08-26 09:30:00,113.4,11.475301,24939.1,101.7,11.43123,215.10000000000002,11.4532655
2024-08-26 09:35:00,144.0,13.105141,24967.85,88.0,11.384613,232.0,12.244876999999999
2024-08-26 09:40:00,121.95,12.715114,24982.9,101.35,11.062354,223.3,11.888734
2024-08-26 09:45:00,144.7,12.890959,24972.95,83.05,11.098759,227.75,11.994859
2024-08-26 09:50:00,121.25,12.670243,24982.65,97.35,10.632112,218.6,11.6511775
2024-08-26 09:55:00,119.35,12.554181,24981.2,98.7,10.704556,218.05,11.6293685
2024-08-26 10:00:00,116.8,12.604018,24975.35,98.55,10.382409,215.35,11.4932135
2024-08-26 10:05:00,120.65,12.376192,24987.3,94.25,10.55613,214.9,11.466161
2024-08-26 10:10:00,139.85,13.248534,25008.35,85.15,10.637113,225.0,11.9428235
2024-08-26 10:15:00,128.1,13.329687,25034.2,97.65,10.748476,225.75,12.0390815
2024-08-26 10:20:00,144.65,13.225453,25017.8,85.65,11.152451,230.3,12.188952
2024-08-26 10:25:00,130.7,12.629616,25002.5,91.7,11.069182,222.39999999999998,11.849399
2024-08-26 10:30:00,122.65,12.107731,24996.65,96.3,11.275799,218.95,11.691765
2024-08-26 10:35:00,127.2,11.900146,25008.85,92.9,11.520036,220.10000000000002,11.710090999999998
2024-08-26 10:40:00,123.2,11.58271,25007.05,95.0,11.663381,218.2,11.6230455
2024-08-26 10:45:00,117.7,11.627961,24996.15,99.4,11.598403,217.10000000000002,11.613182
2024-08-26 10:50:00,132.0,11.563514,24973.85,87.0,11.635162,219.0,11.599338
2024-08-26 10:55:00,112.5,11.674919,24985.6,99.1,11.033447,211.6,11.354182999999999
2024-08-26 11:00:00,105.05,11.379897,24976.45,107.2,11.423266,212.25,11.401581499999999
2024-08-26 11:05:00,111.5,11.826583,24981.15,100.15,10.921474,211.65,11.3740285
2024-08-26 11:10:00,111.0,11.715075,24982.35,100.2,10.995108,211.2,11.3550915
2024-08-26 11:15:00,112.05,11.662721,24985.5,98.95,11.031155,211.0,11.346938
2024-08-26 11:20:00,118.2,12.19428,24988.0,93.25,10.552456,211.45,11.373368
2024-08-26 11:25:00,118.55,12.024741,24991.85,91.55,10.572623,210.1,11.298682
2024-08-26 11:30:00,126.1,12.435819,24999.1,86.0,10.345733,212.1,11.390775999999999
2024-08-26 11:35:00,141.05,12.985118,25017.45,80.0,10.593954,221.05,11.789536
2024-08-26 11:40:00,134.75,12.880598,25007.85,82.7,10.430217,217.45,11.6554075
2024-08-26 11:45:00,129.0,12.560749,25002.8,85.2,10.457339,214.2,11.509044
2024-08-26 11:50:00,128.9,12.485517,25004.05,85.3,10.534798,214.2,11.5101575
2024-08-26 11:55:00,125.7,12.219555,25002.8,86.3,10.585915,212.0,11.402735
2024-08-26 12:00:00,130.8,12.417594,25009.0,85.05,10.760713,215.85000000000002,11.5891535
2024-08-26 12:05:00,130.4,12.299251,25010.4,85.45,10.877508,215.85000000000002,11.5883795
2024-08-26 12:10:00,119.0,11.618178,25001.05,92.1,11.142574,211.1,11.380376
2024-08-26 12:15:00,122.3,11.462873,25009.9,88.45,11.189993,210.75,11.326433
2024-08-26 12:20:00,119.6,11.396727,25006.2,91.3,11.323037,210.89999999999998,11.359881999999999
2024-08-26 12:25:00,123.1,11.720677,25007.3,87.6,10.979233,210.7,11.349955000000001
2024-08-26 12:30:00,131.45,12.090742,25016.45,82.95,10.92166,214.39999999999998,11.506201
2024-08-26 12:35:00,140.05,12.924699,25018.35,79.15,10.600313,219.20000000000002,11.762506
2024-08-26 12:40:00,134.25,12.431927,25016.15,80.6,10.659095,214.85,11.545511000000001
2024-08-26 12:45:00,129.55,12.052878,25014.05,83.25,10.853423,212.8,11.4531505
2024-08-26 12:50:00,127.55,11.668107,25016.9,83.75,11.051004,211.3,11.359555499999999
2024-08-26 12:55:00,132.6,11.872813,25022.7,81.0,11.030349,213.6,11.451581000000001
2024-08-26 13:00:00,109.65,11.777683,25031.2,99.15,10.90587,208.8,11.3417765
2024-08-26 13:05:00,110.85,12.156429,25026.8,97.45,10.487844,208.3,11.3221365
2024-08-26 13:10:00,110.75,12.167229,25026.55,98.0,10.538608,208.75,11.352918500000001
2024-08-26 13:15:00,131.0,11.819203,25021.25,81.75,11.064421,212.75,11.441811999999999
2024-08-26 13:20:00,131.5,11.85447,25021.7,82.15,11.135191,213.65,11.494830499999999
2024-08-26 13:25:00,130.25,11.633758,25023.15,82.45,11.242621,212.7,11.4381895
2024-08-26 13:30:00,127.5,11.57212,25019.4,84.6,11.306025,212.1,11.4390725
