entry_time,exit_time,entry_cost,exit_cost,raw_pnl,transaction_costs,net_pnl,net_pnl_pct,result,exit_reason,hold_minutes,cost_breakdown
2025-02-18 11:25:00,2025-02-18 11:30:00,268.35,266.55,-1.8000000000000114,47.616772,-49.41677200000001,-18.415044531395566,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.133275), 'exchange': np.float64(0.283497)}"
2025-02-18 11:35:00,2025-02-18 11:40:00,267.45000000000005,266.3,-1.150000000000034,47.616037500000004,-48.76603750000004,-18.23370256122641,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.13315000000000002), 'exchange': np.float64(0.28288750000000007)}"
2025-02-18 11:45:00,2025-02-18 11:50:00,267.6,265.95,-1.650000000000034,47.6157565,-49.26575650000004,-18.41022290732438,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.132975), 'exchange': np.float64(0.2827815)}"
2025-02-18 12:00:00,2025-02-18 12:05:00,266.25,262.4,-3.8500000000000227,47.6113845,-51.46138450000002,-19.328219530516442,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.13119999999999998), 'exchange': np.float64(0.28018449999999995)}"
2025-02-18 12:10:00,2025-02-18 12:15:00,263.6,263.25,-0.35000000000002274,47.6108555,-47.96085550000002,-18.19455823216996,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.131625), 'exchange': np.float64(0.2792305)}"
2025-02-18 12:20:00,2025-02-18 12:25:00,259.7,260.45,0.75,47.6059045,-46.8559045,-18.042319792067772,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.130225), 'exchange': np.float64(0.27567949999999997)}"
2025-02-18 12:30:00,2025-02-18 12:35:00,260.7,258.2,-2.5,47.604117,-50.104117,-19.21907057920982,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.1291), 'exchange': np.float64(0.27501699999999996)}"
2025-02-18 12:40:00,2025-02-18 12:45:00,255.9,257.75,1.8499999999999943,47.60110950000001,-45.75110950000001,-17.878510941774135,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.128875), 'exchange': np.float64(0.2722345)}"
2025-02-18 12:50:00,2025-02-18 12:55:00,258.05,260.4,2.349999999999966,47.6049785,-45.254978500000036,-17.537290641348587,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.13019999999999998), 'exchange': np.float64(0.27477850000000004)}"
2025-02-18 13:00:00,2025-02-18 13:05:00,260.65,260.7,0.05000000000001137,47.606665500000005,-47.556665499999994,-18.245411663149817,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.13035), 'exchange': np.float64(0.27631549999999994)}"
2025-02-18 13:10:00,2025-02-18 13:15:00,258.85,253.3,-5.550000000000011,47.5980895,-53.14808950000001,-20.532389221556887,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.12665), 'exchange': np.float64(0.27143950000000006)}"
2025-02-18 13:20:00,2025-02-18 13:25:00,252.2,252.7,0.5,47.593947,-47.093947,-18.67325416336241,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.12635), 'exchange': np.float64(0.267597)}"
2025-02-18 13:30:00,2025-02-18 13:35:00,253.7,251.8,-1.8999999999999773,47.593815000000006,-49.493814999999984,-19.50879582183681,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.1259), 'exchange': np.float64(0.267915)}"
2025-02-18 13:40:00,2025-02-18 13:45:00,256.95,252.1,-4.849999999999994,47.59584650000001,-52.4458465,-20.410915158591166,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.12605), 'exchange': np.float64(0.2697965)}"
2025-02-18 13:50:00,2025-02-18 13:55:00,255.9,253.35,-2.5500000000000114,47.5965775,-50.146577500000014,-19.596161586557255,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.126675), 'exchange': np.float64(0.2699025)}"
2025-02-18 14:00:00,2025-02-18 14:05:00,250.9,251.1,0.19999999999998863,47.59161,-47.391610000000014,-18.88864487843763,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.12555), 'exchange': np.float64(0.26605999999999996)}"
2025-02-19 11:30:00,2025-02-19 11:35:00,187.15,189.35,2.1999999999999886,47.49422,-45.29422000000001,-24.202094576542883,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.094675), 'exchange': np.float64(0.199545)}"
2025-02-19 11:40:00,2025-02-19 11:45:00,190.55,189.1,-1.450000000000017,47.49576450000001,-48.945764500000024,-25.686572815533992,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.09455), 'exchange': np.float64(0.2012145)}"
2025-02-19 11:50:00,2025-02-19 11:55:00,184.95,192.4,7.450000000000017,47.4961955,-40.04619549999998,-21.6524441741011,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.09620000000000001), 'exchange': np.float64(0.1999955)}"
2025-02-19 12:15:00,2025-02-19 12:20:00,187.95,187.25,-0.6999999999999886,47.492481,-48.19248099999999,-25.641117850492144,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.093625), 'exchange': np.float64(0.19885599999999998)}"
2025-02-19 12:25:00,2025-02-19 12:30:00,187.65,188.7,1.049999999999983,47.4938155,-46.443815500000014,-24.75023474553691,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.09434999999999999), 'exchange': np.float64(0.1994655)}"
2025-02-19 13:15:00,2025-02-19 13:20:00,182.9,191.0,8.099999999999994,47.493667,-39.39366700000001,-21.538363586659383,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.0955), 'exchange': np.float64(0.19816699999999998)}"
2025-02-19 13:25:00,2025-02-19 13:30:00,183.0,181.85,-1.1500000000000057,47.4842955,-48.63429550000001,-26.576117759562845,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.090925), 'exchange': np.float64(0.1933705)}"
2025-02-19 13:35:00,2025-02-19 13:40:00,180.25,179.39999999999998,-0.8500000000000227,47.480314500000006,-48.33031450000003,-26.81293453536756,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.08969999999999999), 'exchange': np.float64(0.19061449999999996)}"
2025-02-19 13:45:00,2025-02-19 13:50:00,178.75,181.05,2.3000000000000114,47.481219,-45.18121899999999,-25.27620643356643,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.09052500000000001), 'exchange': np.float64(0.190694)}"
2025-02-19 13:55:00,2025-02-19 14:00:00,179.15,176.4,-2.75,47.4766415,-50.2266415,-28.036082333240298,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.0882), 'exchange': np.float64(0.1884415)}"
2025-02-20 11:30:00,2025-02-20 11:35:00,71.4,68.0,-3.4000000000000057,47.307882000000006,-50.70788200000001,-71.01944257703082,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.034), 'exchange': np.float64(0.073882)}"
2025-02-20 11:40:00,2025-02-20 11:45:00,67.55000000000001,67.5,-0.05000000000001137,47.30532650000001,-47.35532650000002,-70.10411028867507,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.03375), 'exchange': np.float64(0.07157650000000002)}"
2025-02-20 11:50:00,2025-02-20 11:55:00,63.25,62.6,-0.6499999999999986,47.2980005,-47.9480005,-75.80711541501977,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.0313), 'exchange': np.float64(0.0667005)}"
2025-02-20 12:00:00,2025-02-20 12:05:00,59.5,57.900000000000006,-1.5999999999999943,47.291172,-48.891172,-82.17003697478991,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.028950000000000004), 'exchange': np.float64(0.062222)}"
2025-02-20 12:10:00,2025-02-20 12:15:00,59.400000000000006,55.2,-4.200000000000003,47.288338,-51.488338000000006,-86.68070370370371,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.027600000000000003), 'exchange': np.float64(0.060738)}"
2025-02-20 12:20:00,2025-02-20 12:25:00,53.9,51.0,-2.8999999999999986,47.281097,-50.181097,-93.10036549165122,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.025500000000000002), 'exchange': np.float64(0.055596999999999994)}"
2025-02-20 12:30:00,2025-02-20 12:35:00,50.0,53.65,3.6499999999999986,47.2817595,-43.6317595,-87.263519,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.026824999999999998), 'exchange': np.float64(0.0549345)}"
2025-02-20 12:40:00,2025-02-20 12:45:00,48.85,47.45,-1.3999999999999986,47.274764000000005,-48.674764,-99.64127737973388,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.023725000000000003), 'exchange': np.float64(0.051039)}"
2025-02-20 12:50:00,2025-02-20 12:55:00,47.45,45.3,-2.1500000000000057,47.2718075,-49.42180750000001,-104.1555479452055,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.02265), 'exchange': np.float64(0.0491575)}"
2025-02-20 13:00:00,2025-02-20 13:05:00,51.95,45.55,-6.400000000000006,47.27445,-53.67445000000001,-103.3194417709336,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.022775), 'exchange': np.float64(0.051675)}"
2025-02-20 13:10:00,2025-02-20 13:15:00,42.7,39.7,-3.0,47.26352200000001,-50.26352200000001,-117.71316627634663,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.019850000000000003), 'exchange': np.float64(0.043672)}"
2025-02-20 13:20:00,2025-02-20 13:25:00,38.3,38.45,0.15000000000000568,47.2599025,-47.1099025,-123.00235639686686,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.019225000000000003), 'exchange': np.float64(0.0406775)}"
2025-02-20 13:30:00,2025-02-20 13:35:00,35.55,33.3,-2.25,47.2531405,-49.5031405,-139.24934036568214,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.016649999999999998), 'exchange': np.float64(0.036490499999999995)}"
2025-02-20 13:40:00,2025-02-20 13:45:00,36.75,42.3,5.549999999999997,47.2630465,-41.713046500000004,-113.50488843537417,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.02115), 'exchange': np.float64(0.041896499999999996)}"
2025-02-20 13:50:00,2025-02-20 13:55:00,40.7,33.3,-7.400000000000006,47.25587,-54.65587000000001,-134.28960687960688,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.016649999999999998), 'exchange': np.float64(0.03922)}"
2025-02-20 14:00:00,2025-02-20 14:05:00,29.55,25.25,-4.300000000000001,47.241669,-51.541669,-174.42189170896785,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.012625), 'exchange': np.float64(0.029044)}"
2025-02-21 09:15:00,2025-02-21 09:20:00,323.55,319.05,-4.5,47.700103,-52.200103,-16.1335506104157,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.159525), 'exchange': np.float64(0.34057800000000005)}"
2025-02-21 09:25:00,2025-02-21 09:30:00,310.35,310.15,-0.20000000000004547,47.68394000000001,-47.88394000000005,-15.429012405348816,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.155075), 'exchange': np.float64(0.32886499999999996)}"
2025-02-21 09:35:00,2025-02-21 09:40:00,308.5,317.25,8.75,47.690272500000006,-38.940272500000006,-12.622454619124799,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.15862500000000002), 'exchange': np.float64(0.3316475)}"
2025-02-21 11:45:00,2025-02-21 11:50:00,314.25,316.15,1.8999999999999773,47.692187000000004,-45.79218700000003,-14.571897215592688,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.158075), 'exchange': np.float64(0.33411199999999996)}"
2025-02-21 12:10:00,2025-02-21 12:15:00,310.7,310.1,-0.5999999999999659,47.684073999999995,-48.28407399999996,-15.540416478918559,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.15505000000000002), 'exchange': np.float64(0.329024)}"
2025-02-21 12:20:00,2025-02-21 12:25:00,310.6,310.45000000000005,-0.14999999999997726,47.6843815,-47.83438149999998,-15.400637958789432,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.15522500000000003), 'exchange': np.float64(0.3291565000000001)}"
2025-02-21 12:30:00,2025-02-21 12:35:00,309.2,308.3,-0.8999999999999773,47.681425000000004,-48.58142499999998,-15.711974450194043,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.15415), 'exchange': np.float64(0.327275)}"
2025-02-21 12:40:00,2025-02-21 12:45:00,305.95,307.45,1.5,47.678827,-46.178827,-15.09358620689655,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.153725), 'exchange': np.float64(0.325102)}"
2025-02-21 12:50:00,2025-02-21 12:55:00,305.79999999999995,305.75,-0.049999999999954525,47.6769965,-47.726996499999956,-15.607258502289065,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.152875), 'exchange': np.float64(0.32412149999999995)}"
2025-02-21 13:10:00,2025-02-21 13:15:00,303.1,303.0,-0.10000000000002274,47.672733,-47.772733000000024,-15.761376773342137,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.1515), 'exchange': np.float64(0.321233)}"
2025-02-21 13:20:00,2025-02-21 13:25:00,300.4,308.25,7.850000000000023,47.6767095,-39.82670949999998,-13.25789264314247,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.154125), 'exchange': np.float64(0.3225845)}"
2025-02-21 13:30:00,2025-02-21 13:35:00,305.85,309.9,4.0499999999999545,47.6812975,-43.631297500000045,-14.26558688899789,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.15495), 'exchange': np.float64(0.3263475)}"
2025-02-21 13:50:00,2025-02-21 13:55:00,303.5,301.2,-2.3000000000000114,47.671091000000004,-49.971091000000015,-16.46493937397035,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.15059999999999998), 'exchange': np.float64(0.32049099999999997)}"
2025-02-21 14:00:00,2025-02-21 14:05:00,300.55,297.95,-2.6000000000000227,47.66618,-50.26618000000002,-16.724731325902518,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.148975), 'exchange': np.float64(0.31720499999999996)}"
2025-02-25 09:15:00,2025-02-25 09:20:00,184.75,175.85000000000002,-8.899999999999977,47.479043000000004,-56.37904299999998,-30.516396752368053,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.08792500000000002), 'exchange': np.float64(0.191118)}"
2025-02-25 09:25:00,2025-02-25 09:30:00,170.3,158.45,-11.850000000000023,47.4534625,-59.30346250000002,-34.82293746330007,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.07922499999999999), 'exchange': np.float64(0.1742375)}"
2025-02-25 09:35:00,2025-02-25 09:40:00,165.64999999999998,161.4,-4.249999999999972,47.4540365,-51.70403649999997,-31.212820102626004,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.08070000000000001), 'exchange': np.float64(0.17333649999999998)}"
2025-02-25 09:45:00,2025-02-25 09:50:00,158.95,153.0,-5.949999999999989,47.4418335,-53.39183349999999,-33.590332494495115,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.0765), 'exchange': np.float64(0.16533349999999997)}"
2025-02-25 09:55:00,2025-02-25 10:00:00,150.15,147.5,-2.6500000000000057,47.4315045,-50.08150450000001,-33.35431535131536,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.07375), 'exchange': np.float64(0.1577545)}"
2025-02-25 10:05:00,2025-02-25 10:10:00,143.05,142.2,-0.8500000000000227,47.4222825,-48.272282500000024,-33.74504194337646,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.0711), 'exchange': np.float64(0.1511825)}"
2025-02-25 10:15:00,2025-02-25 10:20:00,149.6,147.15,-2.4499999999999886,47.4308525,-49.88085249999999,-33.34281584224598,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.073575), 'exchange': np.float64(0.15727750000000001)}"
2025-02-25 10:25:00,2025-02-25 10:30:00,134.85,132.8,-2.049999999999983,47.408254500000005,-49.45825449999999,-36.676495736002956,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.0664), 'exchange': np.float64(0.1418545)}"
2025-02-25 10:35:00,2025-02-25 10:40:00,129.05,128.1,-0.950000000000017,47.4003395,-48.35033950000002,-37.46636148779544,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.06405), 'exchange': np.float64(0.1362895)}"
2025-02-25 10:45:00,2025-02-25 10:50:00,138.45,137.8,-0.6499999999999773,47.4153125,-48.065312499999976,-34.71672986637774,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.0689), 'exchange': np.float64(0.1464125)}"
2025-02-25 10:55:00,2025-02-25 11:00:00,135.3,133.05,-2.25,47.4087505,-49.6587505,-36.70269807834441,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.066525), 'exchange': np.float64(0.1422255)}"
2025-02-25 11:05:00,2025-02-25 11:10:00,133.8,132.2,-1.6000000000000227,47.40708,-49.00708000000002,-36.62711509715996,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.06609999999999999), 'exchange': np.float64(0.14098)}"
2025-02-25 11:15:00,2025-02-25 11:20:00,132.0,131.14999999999998,-0.8500000000000227,47.4050445,-48.255044500000025,-36.55685189393941,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.065575), 'exchange': np.float64(0.13946949999999997)}"
2025-02-25 11:25:00,2025-02-25 11:30:00,127.85,127.35,-0.5,47.398931000000005,-47.898931000000005,-37.464944075088,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.063675), 'exchange': np.float64(0.135256)}"
2025-02-25 11:35:00,2025-02-25 11:40:00,128.4,130.3,1.9000000000000057,47.402261,-45.502261,-35.437897975077874,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.06515000000000001), 'exchange': np.float64(0.137111)}"
2025-02-25 11:45:00,2025-02-25 11:50:00,125.85,126.3,0.45000000000000284,47.396789500000004,-46.9467895,-37.30376599125944,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.06315), 'exchange': np.float64(0.1336395)}"
2025-02-25 11:55:00,2025-02-25 12:00:00,126.4,125.6,-0.8000000000000114,47.39636,-48.19636000000001,-38.13003164556963,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.0628), 'exchange': np.float64(0.13355999999999998)}"
2025-02-25 12:05:00,2025-02-25 12:10:00,127.6,125.3,-2.299999999999997,47.396687,-49.696687,-38.94724686520376,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.06265), 'exchange': np.float64(0.134037)}"
2025-02-25 12:15:00,2025-02-25 12:20:00,109.0,109.05,0.04999999999999716,47.3700915,-47.320091500000004,-43.41292798165138,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.054525), 'exchange': np.float64(0.11556649999999999)}"
2025-02-25 12:25:00,2025-02-25 12:30:00,106.9,123.8,16.89999999999999,47.38417100000001,-30.484171000000018,-28.516530402245106,LOSS,STOP_LOSS,5,"{'brokerage': 40, 'gst': 7.199999999999999, 'stt': np.float64(0.0619), 'exchange': np.float64(0.12227099999999999)}"
