entry_time,exit_time,entry_cost,exit_cost,position_pnl,hedge_pnl,raw_pnl,costs,net_pnl,net_pnl_pct,hedge_count,result,exit_reason,hold_days
2024-12-26 15:15:00,2024-12-26 15:20:00,1.05,0.55,-0.5,0,-0.5,47.2,-47.7,-4542.96,0,LOSS,STOP_LOSS,0.0
2025-02-27 15:05:00,2025-02-27 15:10:00,4.0,2.55,-1.45,0,-1.45,47.2,-48.65,-1216.37,0,LOSS,STOP_LOSS,0.0
2025-08-28 15:10:00,2025-08-28 15:20:00,8.7,3.1,-5.6,0,-5.6,47.21,-52.81,-606.99,0,LOSS,STOP_LOSS,0.0
2025-09-30 15:05:00,2025-09-30 15:25:00,13.8,39.05,25.25,0,25.25,47.25,-22.0,-159.4,0,LOSS,PROFIT_TARGET,0.1
2025-11-25 15:05:00,2025-11-25 15:20:00,16.55,34.4,17.85,0,17.85,47.24,-29.39,-177.61,0,LOSS,PROFIT_TARGET,0.0
2025-12-30 15:10:00,2025-12-31 09:15:00,11.6,531.4,519.8,0,519.8,47.75,472.05,4069.37,0,WIN,PROFIT_TARGET,0.1
2026-01-27 15:10:00,2026-01-27 15:20:00,21.8,73.65,51.85,0,51.85,47.29,4.56,20.93,0,WIN,PROFIT_TARGET,0.0
